"Step","a3c_Qbert_runseed=0 - training/episode/reward","a3c_Qbert_runseed=0 - training/episode/reward__MIN","a3c_Qbert_runseed=0 - training/episode/reward__MAX"
"320192","200","200","200"
"321760","250","250","250"
"322048","500","500","500"
"322336","175","175","175"
"322624","0","0","0"
"322656","175","175","175"
"322912","200","200","200"
"323360","300","300","300"
"323648","250","250","250"
"324000","225","225","225"
"324128","225","225","225"
"324192","225","225","225"
"324928","250","250","250"
"326240","200","200","200"
"326816","75","75","75"
"326912","50","50","50"
"327488","250","250","250"
"327904","325","325","325"
"329792","325","325","325"
"329824","200","200","200"
"330176","150","150","150"
"330560","150","150","150"
"331648","50","50","50"
"333536","500","500","500"
"333728","225","225","225"
"333856","125","125","125"
"334528","225","225","225"
"335008","175","175","175"
"335168","275","275","275"
"335520","350","350","350"
"336224","250","250","250"
"336768","250","250","250"
"337216","125","125","125"
"337312","775","775","775"
"338272","175","175","175"
"338624","125","125","125"
"339296","575","575","575"
"339552","325","325","325"
"339648","125","125","125"
"340096","150","150","150"
"340192","275","275","275"
"344288","300","300","300"
"345696","250","250","250"
"346464","150","150","150"
"346848","25","25","25"
"348320","350","350","350"
"349504","350","350","350"
"349568","200","200","200"
"350016","575","575","575"
"351328","275","275","275"
"351360","200","200","200"
"351712","150","150","150"
"352960","350","350","350"
"354208","300","300","300"
"354752","175","175","175"
"354816","350","350","350"
"356000","225","225","225"
"356224","250","250","250"
"356288","100","100","100"
"356544","200","200","200"
"358880","200","200","200"
"359136","175","175","175"
"359584","75","75","75"
"359616","250","250","250"
"359872","100","100","100"
"360032","200","200","200"
"362304","225","225","225"
"362336","325","325","325"
"362368","0","0","0"
"362464","175","175","175"
"363936","625","625","625"
"364064","175","175","175"
"364864","125","125","125"
"365024","350","350","350"
"366976","225","225","225"
"367040","175","175","175"
"367424","200","200","200"
"367584","50","50","50"
"367872","325","325","325"
"368672","675","675","675"
"368800","400","400","400"
"370752","200","200","200"
"370848","50","50","50"
"372128","125","125","125"
"373120","250","250","250"
"373152","175","175","175"
"374432","275","275","275"
"374976","650","650","650"
"375840","250","250","250"
"376128","250","250","250"
"377248","225","225","225"
"378048","300","300","300"
"378080","225","225","225"
"378336","700","700","700"
"379008","150","150","150"
"380320","300","300","300"
"380640","50","50","50"
"381024","125","125","125"
"381280","375","375","375"
"381344","275","275","275"
"381984","125","125","125"
"382272","150","150","150"
"382784","200","200","200"
"383520","300","300","300"
"384000","175","175","175"
"384928","175","175","175"
"385120","250","250","250"
"385632","150","150","150"
"385696","100","100","100"
"385920","150","150","150"
"386528","250","250","250"
"386848","0","0","0"
"389312","250","250","250"
"390304","275","275","275"
"392992","375","375","375"
"393600","250","250","250"
"394720","375","375","375"
"396320","225","225","225"
"397056","175","175","175"
"397344","200","200","200"
"397728","225","225","225"
"401664","150","150","150"
"404480","175","175","175"
"404832","250","250","250"
"406048","200","200","200"
"406240","300","300","300"
"406784","125","125","125"
"407296","225","225","225"
"407392","225","225","225"
"407520","675","675","675"
"407904","225","225","225"
"408608","425","425","425"
"409824","275","275","275"
"411104","350","350","350"
"411232","50","50","50"
"411424","675","675","675"
"411840","250","250","250"
"411936","75","75","75"
"412352","725","725","725"
"413664","250","250","250"
"414496","300","300","300"
"416256","250","250","250"
"417728","200","200","200"
"418240","225","225","225"
"418624","75","75","75"
"418752","525","525","525"
"420768","325","325","325"
"421024","575","575","575"
"421472","600","600","600"
"421952","175","175","175"
"422432","200","200","200"
"422624","200","200","200"
"422688","300","300","300"
"423040","75","75","75"
"423840","300","300","300"
"424288","700","700","700"
"424416","275","275","275"
"425888","150","150","150"
"426368","175","175","175"
"426496","175","175","175"
"427520","700","700","700"
"428096","50","50","50"
"430656","400","400","400"
"430880","275","275","275"
"430912","175","175","175"
"431232","675","675","675"
"431424","150","150","150"
"432032","250","250","250"
"432352","250","250","250"
"432768","225","225","225"
"433216","125","125","125"
"433632","525","525","525"
"433984","375","375","375"
"435232","250","250","250"
"435392","350","350","350"
"437664","250","250","250"
"438176","300","300","300"
"439200","275","275","275"
"440416","250","250","250"
"441536","200","200","200"
"442336","650","650","650"
"443136","300","300","300"
"443424","325","325","325"
"443712","50","50","50"
"444096","25","25","25"
