"Step","FuN_qbert_runseed=0 - training/episode/reward","FuN_qbert_runseed=0 - training/episode/reward__MIN","FuN_qbert_runseed=0 - training/episode/reward__MAX"
"496144","575","575","575"
"496672","575","575","575"
"496680","600","600","600"
"496736","625","625","625"
"499424","550","550","550"
"499624","525","525","525"
"499832","525","525","525"
"502280","425","425","425"
"502560","600","600","600"
"502568","450","450","450"
"502656","625","625","625"
"502720","575","575","575"
"504088","675","675","675"
"504368","525","525","525"
"505560","575","575","575"
"506248","600","600","600"
"508672","450","450","450"
"508744","675","675","675"
"508824","475","475","475"
"509104","1225","1225","1225"
"510704","650","650","650"
"511560","550","550","550"
"511976","525","525","525"
"512152","625","625","625"
"512328","575","575","575"
"514064","550","550","550"
"514328","650","650","650"
"514624","650","650","650"
"514664","500","500","500"
"515256","525","525","525"
"516040","650","650","650"
"517584","650","650","650"
"517816","525","525","525"
"518464","625","625","625"
"518704","675","675","675"
"521216","650","650","650"
"521616","575","575","575"
"521816","650","650","650"
"521936","500","500","500"
"525056","575","575","575"
"525184","675","675","675"
"525352","650","650","650"
"525368","575","575","575"
"527648","575","575","575"
"527776","550","550","550"
"528376","275","275","275"
"528688","625","625","625"
"530928","550","550","550"
"530960","650","650","650"
"531400","575","575","575"
"531792","600","600","600"
"534192","550","550","550"
"534608","625","625","625"
"535016","650","650","650"
"535544","625","625","625"
"535904","700","700","700"
"537552","575","575","575"
"537616","575","575","575"
"538248","550","550","550"
"538256","500","500","500"
"540664","550","550","550"
"541536","600","600","600"
"541624","600","600","600"
"542264","650","650","650"
"544688","600","600","600"
"545368","625","625","625"
"545840","600","600","600"
"546648","600","600","600"
"547616","575","575","575"
"547944","450","450","450"
"548040","600","600","600"
"549024","625","625","625"
"550528","525","525","525"
"551240","500","500","500"
"552768","725","725","725"
"553104","550","550","550"
"553728","525","525","525"
"553792","575","575","575"
"555376","725","725","725"
"556528","600","600","600"
"556576","525","525","525"
"556992","575","575","575"
"559056","675","675","675"
"559712","625","625","625"
"559752","600","600","600"
"559768","650","650","650"
"561752","525","525","525"
"562448","600","600","600"
"563608","625","625","625"
"563840","675","675","675"
"565672","550","550","550"
"566712","575","575","575"
"567024","625","625","625"
"569648","575","575","575"
"569832","650","650","650"
"569896","625","625","625"
"570552","650","650","650"
"571552","600","600","600"
"572760","475","475","475"
"573424","600","600","600"
"573440","600","600","600"
"573600","650","650","650"
"575376","625","625","625"
"575920","550","550","550"
"576016","575","575","575"
"576352","575","575","575"
"576520","650","650","650"
"576616","550","550","550"
"577624","575","575","575"
"578704","600","600","600"
"579200","575","575","575"
"579320","550","550","550"
"579544","575","575","575"
"579576","575","575","575"
"583408","650","650","650"
"586888","525","525","525"
"587928","650","650","650"
"588136","525","525","525"
"589184","550","550","550"
"589336","550","550","550"
"590248","625","625","625"
"591928","550","550","550"
"593560","600","600","600"
"593936","500","500","500"
"595376","675","675","675"
"596288","425","425","425"
"597480","625","625","625"
"597848","550","550","550"
"598272","625","625","625"
"598904","575","575","575"
"601352","625","625","625"
"601824","525","525","525"
"601888","575","575","575"
"602816","550","550","550"
"604128","550","550","550"
"604400","600","600","600"
"604528","550","550","550"
"605048","525","525","525"
"605160","1125","1125","1125"
"605512","600","600","600"
"606768","625","625","625"
"607744","700","700","700"
"608536","600","600","600"
"609968","525","525","525"
"610376","525","525","525"
"611008","550","550","550"
"611168","625","625","625"
"611400","650","650","650"
"611736","575","575","575"
"613360","600","600","600"
"613488","625","625","625"
"613952","500","500","500"
"614432","500","500","500"
"615216","550","550","550"
"616472","600","600","600"
"617024","550","550","550"
"617376","575","575","575"
"617384","550","550","550"
"617600","700","700","700"
"618120","600","600","600"
"619344","550","550","550"
"620112","575","575","575"
"620256","575","575","575"
"620792","575","575","575"
"621096","600","600","600"
"621280","550","550","550"
"621312","575","575","575"
"622440","675","675","675"
"623312","525","525","525"
"624016","650","650","650"
"624416","525","525","525"
"624720","650","650","650"
"625272","675","675","675"
"625752","625","625","625"
"626440","600","600","600"
"626640","650","650","650"
"626696","650","650","650"
"627496","575","575","575"
"627872","575","575","575"
"629800","275","275","275"
"629888","250","250","250"
"630568","675","675","675"
"631424","450","450","450"
"632856","450","450","450"
"633616","525","525","525"
"634056","525","525","525"
"635000","600","600","600"
"635656","425","425","425"
"636168","525","525","525"
"637152","550","550","550"
"637960","600","600","600"
"638152","600","600","600"
"640336","650","650","650"
"640352","625","625","625"
"640976","600","600","600"
"641136","650","650","650"
"641168","500","500","500"
"643384","575","575","575"
"643736","625","625","625"
"644480","625","625","625"
"644488","500","500","500"
"644784","475","475","475"
"647200","600","600","600"
"647728","525","525","525"
"650296","550","550","550"
"650720","625","625","625"
"650728","600","600","600"
"651632","650","650","650"
"651976","550","550","550"
"653232","525","525","525"
"653352","550","550","550"
"654648","575","575","575"
"655768","650","650","650"
"656568","575","575","575"
"656856","600","600","600"
"657056","500","500","500"
"657224","650","650","650"
"657368","650","650","650"
"658904","650","650","650"
"660120","575","575","575"
"660128","550","550","550"
"660640","525","525","525"
"661008","575","575","575"
"662040","575","575","575"
"662232","575","575","575"
"662672","475","475","475"
"664064","575","575","575"
"664800","500","500","500"
"664912","525","525","525"
"665392","575","575","575"
"666896","525","525","525"
"667368","550","550","550"
"668024","525","525","525"
"670056","525","525","525"
"670288","525","525","525"
"670680","600","600","600"
"672488","575","575","575"
"673440","525","525","525"
"674104","550","550","550"
"674840","625","625","625"
"676480","525","525","525"
"676816","700","700","700"
"680104","600","600","600"
"681208","650","650","650"
"681440","675","675","675"
"683424","600","600","600"
"684960","625","625","625"
"685960","550","550","550"
"687040","600","600","600"
"687064","625","625","625"
"687912","1225","1225","1225"
"688672","700","700","700"
"690032","600","600","600"
"690160","625","625","625"
"690832","675","675","675"
"692952","750","750","750"
"693264","500","500","500"
"693280","575","575","575"
"694552","700","700","700"
"694696","525","525","525"
"696104","550","550","550"
"696656","525","525","525"
"698856","600","600","600"
"699360","650","650","650"
"700240","625","625","625"
"700480","475","475","475"
"702464","625","625","625"
"703096","600","600","600"
"703736","500","500","500"
"704992","625","625","625"
"706248","625","625","625"
"706536","625","625","625"
"707728","625","625","625"
"708624","650","650","650"
"709248","575","575","575"
"709624","650","650","650"
"710192","625","625","625"
"710712","550","550","550"
"711264","600","600","600"
"711512","525","525","525"
"712872","600","600","600"
"713952","525","525","525"
"714040","575","575","575"
"714664","525","525","525"
"715880","525","525","525"
"716488","575","575","575"
"716808","575","575","575"
"716984","525","525","525"
"717568","575","575","575"
"718896","575","575","575"
"719472","625","625","625"
"720256","625","625","625"
"720296","675","675","675"
"720384","600","600","600"
"720824","525","525","525"
"721504","575","575","575"
"722080","675","675","675"
"722728","650","650","650"
"723024","550","550","550"
"723208","450","450","450"
"723368","575","575","575"
"724024","550","550","550"
"724192","650","650","650"
"724928","600","600","600"
"726016","450","450","450"
"726792","575","575","575"
"726976","525","525","525"
"727512","475","475","475"
"727744","600","600","600"
"728872","575","575","575"
"729704","600","600","600"
"730800","825","825","825"
"731728","500","500","500"
"732672","525","525","525"
"733320","525","525","525"
"733912","625","625","625"
"734360","700","700","700"
"734640","575","575","575"
"735064","575","575","575"
"736112","625","625","625"
"736736","650","650","650"
"738088","550","550","550"
"738456","600","600","600"
"739216","575","575","575"
"740576","600","600","600"
"740648","550","550","550"
"740776","650","650","650"
"741272","525","525","525"
"741632","625","625","625"
"742832","625","625","625"
"744664","500","500","500"
"744800","600","600","600"
"745728","600","600","600"
"747320","425","425","425"
"748120","575","575","575"
"748640","625","625","625"
"750176","575","575","575"
"752568","625","625","625"
"752592","650","650","650"
"753376","500","500","500"
"753720","625","625","625"
"756592","575","575","575"
"756672","650","650","650"
"757896","450","450","450"
"759400","525","525","525"
"759736","500","500","500"
"761248","525","525","525"
"762136","650","650","650"
"762632","600","600","600"
"762984","575","575","575"
"763792","650","650","650"
"765568","750","750","750"
"766272","550","550","550"
"766872","600","600","600"
"769264","525","525","525"
"769968","675","675","675"
"770232","525","525","525"
"770272","700","700","700"
"771688","500","500","500"
"772432","575","575","575"
"773240","600","600","600"
"773464","700","700","700"
"775752","625","625","625"
"776304","525","525","525"
"776368","575","575","575"
"776928","575","575","575"
"777248","600","600","600"
"777360","550","550","550"
"779096","500","500","500"
"779536","575","575","575"
"779616","575","575","575"
"779776","575","575","575"
"780000","475","475","475"
"780064","575","575","575"
"782728","600","600","600"
"783256","525","525","525"
"783408","625","625","625"
"783816","725","725","725"
"785728","575","575","575"
"785960","525","525","525"
"786320","575","575","575"
"786432","625","625","625"
"786704","625","625","625"
"787040","650","650","650"
"788840","575","575","575"
"788904","500","500","500"
"789376","650","650","650"
"789952","700","700","700"
"790208","600","600","600"
"790536","1150","1150","1150"
"790576","675","675","675"
"790600","600","600","600"
"791896","600","600","600"
"793000","575","575","575"
"793272","600","600","600"
"793976","575","575","575"
"794832","475","475","475"
"795208","650","650","650"
"796192","475","475","475"
"796448","600","600","600"
"797960","500","500","500"
"798504","650","650","650"
"799808","625","625","625"
"800192","600","600","600"
"800568","600","600","600"
"800896","475","475","475"
"801664","575","575","575"
"801720","550","550","550"
"802344","650","650","650"
"803520","625","625","625"
"803968","600","600","600"
"804072","550","550","550"
"804960","550","550","550"
"804992","650","650","650"
"806296","575","575","575"
"806936","575","575","575"
"808864","475","475","475"
"809744","600","600","600"
"811144","625","625","625"
"811152","725","725","725"
"812728","675","675","675"
"813200","600","600","600"
"813840","575","575","575"
"814464","575","575","575"
"814664","600","600","600"
"815216","550","550","550"
"815992","675","675","675"
"816224","375","375","375"
"816440","425","425","425"
"816496","525","525","525"
"817464","525","525","525"
"818960","575","575","575"
"819472","600","600","600"
"819504","525","525","525"
"820888","525","525","525"
"820912","600","600","600"
"822056","525","525","525"
"822592","550","550","550"
"823744","500","500","500"
"823752","700","700","700"
"824120","575","575","575"
"826008","525","525","525"
"826016","600","600","600"
"826440","525","525","525"
"826528","650","650","650"
"829016","450","450","450"
"829520","525","525","525"
"829680","650","650","650"
"830184","600","600","600"
"830240","500","500","500"
"831272","625","625","625"
"832504","600","600","600"
"832592","600","600","600"
"832728","500","500","500"
"833488","550","550","550"
"834328","500","500","500"
"835456","475","475","475"
"835608","475","475","475"
"835904","625","625","625"
"836040","525","525","525"
"836456","600","600","600"
"836624","625","625","625"
"836792","600","600","600"
"837296","675","675","675"
"838744","450","450","450"
"839448","525","525","525"
"839984","625","625","625"
"841384","550","550","550"
"842080","525","525","525"
"843024","575","575","575"
"843064","475","475","475"
"843184","450","450","450"
"844608","550","550","550"
"845560","600","600","600"
"846000","575","575","575"
"846024","550","550","550"
"846320","575","575","575"
"847128","575","575","575"
"847888","550","550","550"
"848816","600","600","600"
"849232","425","425","425"
"849984","600","600","600"
"851040","600","600","600"
"851880","475","475","475"
"852432","575","575","575"
"852560","500","500","500"
"852848","675","675","675"
"854336","625","625","625"
"854888","500","500","500"
"855448","675","675","675"
"856352","600","600","600"
"857408","575","575","575"
"857440","525","525","525"
"858000","550","550","550"
"858984","650","650","650"
"859192","500","500","500"
"859352","625","625","625"
"861056","625","625","625"
"861632","625","625","625"
"862224","625","625","625"
"862256","650","650","650"
"865000","575","575","575"
"865552","550","550","550"
"866144","650","650","650"
"866520","525","525","525"
"867600","525","525","525"
"868384","500","500","500"
"869952","525","525","525"
"870776","625","625","625"
"870856","550","550","550"
"871040","475","475","475"
"871352","600","600","600"
"872784","1225","1225","1225"
"873136","575","575","575"
"873624","500","500","500"
"873824","675","675","675"
"874424","550","550","550"
"874768","525","525","525"
"877408","575","575","575"
"877808","575","575","575"
"878600","600","600","600"
"879120","650","650","650"
"879344","600","600","600"
"880328","550","550","550"
"880696","650","650","650"
"881016","550","550","550"
"883752","600","600","600"
"884152","625","625","625"
"884240","600","600","600"
"885992","625","625","625"
"888024","525","525","525"
"888056","550","550","550"
"890256","550","550","550"
"890464","575","575","575"
"891080","525","525","525"
"892504","575","575","575"
"893128","575","575","575"
"893784","575","575","575"
"895640","600","600","600"
"895712","600","600","600"
"896504","575","575","575"
"896632","550","550","550"
"896960","650","650","650"
"897776","625","625","625"
