"Step","a3c_Kangaroo_runseed=0 - training/episode/reward","a3c_Kangaroo_runseed=0 - training/episode/reward__MIN","a3c_Kangaroo_runseed=0 - training/episode/reward__MAX"
"334720","0","0","0"
"334752","0","0","0"
"335840","0","0","0"
"336160","0","0","0"
"337120","0","0","0"
"337312","0","0","0"
"340064","0","0","0"
"340864","0","0","0"
"340928","0","0","0"
"341632","200","200","200"
"342080","0","0","0"
"342208","0","0","0"
"343488","0","0","0"
"345440","0","0","0"
"345984","0","0","0"
"346208","0","0","0"
"346560","0","0","0"
"346976","400","400","400"
"347424","0","0","0"
"347552","400","400","400"
"348096","0","0","0"
"348352","0","0","0"
"348960","0","0","0"
"350336","0","0","0"
"350848","0","0","0"
"352640","0","0","0"
"352992","0","0","0"
"355584","0","0","0"
"356960","0","0","0"
"357312","0","0","0"
"357376","0","0","0"
"357920","0","0","0"
"358176","0","0","0"
"360128","0","0","0"
"360800","200","200","200"
"360992","0","0","0"
"361024","0","0","0"
"361696","200","200","200"
"361824","0","0","0"
"363552","400","400","400"
"366080","0","0","0"
"366400","0","0","0"
"367200","200","200","200"
"368352","0","0","0"
"369280","0","0","0"
"369504","200","200","200"
"369952","0","0","0"
"370112","0","0","0"
"370400","0","0","0"
"371328","0","0","0"
"371648","0","0","0"
"372000","0","0","0"
"372032","0","0","0"
"373376","0","0","0"
"374752","0","0","0"
"375552","200","200","200"
"377440","0","0","0"
"378432","0","0","0"
"378592","0","0","0"
"378816","0","0","0"
"378848","400","400","400"
"381248","0","0","0"
"381440","0","0","0"
"383040","0","0","0"
"383712","0","0","0"
"383808","0","0","0"
"384704","200","200","200"
"384800","0","0","0"
"387520","200","200","200"
"389760","0","0","0"
"389792","0","0","0"
"389888","0","0","0"
"390848","0","0","0"
"390976","0","0","0"
"393664","0","0","0"
"393792","0","0","0"
"393920","0","0","0"
"393952","0","0","0"
"394240","0","0","0"
"395552","0","0","0"
"395840","0","0","0"
"395968","0","0","0"
"396032","0","0","0"
"396448","0","0","0"
"397088","0","0","0"
"398560","0","0","0"
"398848","0","0","0"
"401184","0","0","0"
"401280","0","0","0"
"401344","200","200","200"
"402464","0","0","0"
"406144","0","0","0"
"406208","0","0","0"
"406720","0","0","0"
"406784","0","0","0"
"406848","0","0","0"
"407488","200","200","200"
"409184","200","200","200"
"410016","0","0","0"
"410048","0","0","0"
"410176","0","0","0"
"410496","0","0","0"
"412576","0","0","0"
"414048","0","0","0"
"415232","200","200","200"
"415808","0","0","0"
"416384","0","0","0"
"416704","0","0","0"
"417408","0","0","0"
"418688","0","0","0"
"418944","0","0","0"
"419840","0","0","0"
"420128","0","0","0"
"420352","0","0","0"
"420480","0","0","0"
"420672","200","200","200"
"421312","0","0","0"
"421760","0","0","0"
"423264","200","200","200"
"424352","0","0","0"
"426048","0","0","0"
"426592","0","0","0"
"426720","0","0","0"
"427712","0","0","0"
"428288","0","0","0"
"430432","0","0","0"
"430720","0","0","0"
"430976","200","200","200"
"432736","200","200","200"
"434368","0","0","0"
"434816","0","0","0"
"434944","0","0","0"
"435072","0","0","0"
"435488","0","0","0"
"435552","0","0","0"
"435616","0","0","0"
"436320","200","200","200"
"437088","0","0","0"
"437504","0","0","0"
"437632","0","0","0"
"438848","0","0","0"
"441920","0","0","0"
"442080","0","0","0"
"443104","0","0","0"
"443936","0","0","0"
"443968","0","0","0"
"444384","0","0","0"
"445792","0","0","0"
"448128","0","0","0"
"448768","0","0","0"
"449376","0","0","0"
"450272","0","0","0"
"452256","0","0","0"
"452608","0","0","0"
"452896","200","200","200"
"453056","0","0","0"
"453600","0","0","0"
"453664","0","0","0"
"454656","0","0","0"
"454752","0","0","0"
"454880","200","200","200"
"455680","0","0","0"
"456160","0","0","0"
"457408","0","0","0"
"457440","0","0","0"
"457792","0","0","0"
"458080","0","0","0"
"458944","0","0","0"
"459072","0","0","0"
"459424","0","0","0"
"459520","0","0","0"
"461440","0","0","0"
"461664","0","0","0"
"461888","200","200","200"
"462272","200","200","200"
"462432","200","200","200"
"462880","200","200","200"
"464000","0","0","0"
"464256","0","0","0"
"465440","400","400","400"
"465856","0","0","0"
"466112","0","0","0"
"466272","200","200","200"
"467104","0","0","0"
"468800","0","0","0"
"471008","0","0","0"
"471296","200","200","200"
"471488","200","200","200"
"472256","0","0","0"
"472512","0","0","0"
"472736","0","0","0"
"473472","0","0","0"
"473824","0","0","0"
"474208","200","200","200"
"474304","200","200","200"
"474688","0","0","0"
"474848","0","0","0"
"475136","0","0","0"
"475680","200","200","200"
"477312","0","0","0"
"477664","0","0","0"
"478208","0","0","0"
"478240","200","200","200"
"479168","200","200","200"
"479520","200","200","200"
"481184","200","200","200"
"481888","200","200","200"
"482848","0","0","0"
"482976","0","0","0"
"483200","0","0","0"
"483808","200","200","200"
"484448","200","200","200"
"484992","0","0","0"
"485728","0","0","0"
"486016","0","0","0"
"486048","0","0","0"
"486624","0","0","0"
"487584","0","0","0"
"490048","400","400","400"
"490432","0","0","0"
"491008","0","0","0"
