"Step","FuN_Kangaroo_runseed=0 - training/episode/reward","FuN_Kangaroo_runseed=0 - training/episode/reward__MIN","FuN_Kangaroo_runseed=0 - training/episode/reward__MAX"
"480128","0","0","0"
"480256","200","200","200"
"480768","0","0","0"
"481792","0","0","0"
"482176","0","0","0"
"482816","200","200","200"
"483776","0","0","0"
"484096","200","200","200"
"484736","200","200","200"
"485856","0","0","0"
"486432","0","0","0"
"486656","0","0","0"
"487840","0","0","0"
"488288","0","0","0"
"489248","0","0","0"
"489504","0","0","0"
"489984","0","0","0"
"490400","0","0","0"
"490656","200","200","200"
"490848","0","0","0"
"491648","200","200","200"
"492448","200","200","200"
"493248","0","0","0"
"493440","0","0","0"
"494144","0","0","0"
"495040","0","0","0"
"495488","200","200","200"
"497440","0","0","0"
"497696","0","0","0"
"500000","0","0","0"
"500160","200","200","200"
"500864","0","0","0"
"502016","0","0","0"
"502624","0","0","0"
"502848","0","0","0"
"503008","0","0","0"
"504064","0","0","0"
"504352","0","0","0"
"505376","0","0","0"
"505472","200","200","200"
"505792","0","0","0"
"506080","0","0","0"
"506752","200","200","200"
"509216","0","0","0"
"510368","200","200","200"
"510816","200","200","200"
"511136","0","0","0"
"511840","0","0","0"
"512128","0","0","0"
"512288","0","0","0"
"513120","0","0","0"
"513312","200","200","200"
"513408","0","0","0"
"513504","0","0","0"
"514048","400","400","400"
"514624","200","200","200"
"515232","0","0","0"
"516032","0","0","0"
"516416","0","0","0"
"517280","0","0","0"
"519104","0","0","0"
"519136","0","0","0"
"520160","200","200","200"
"520192","0","0","0"
"520704","0","0","0"
"521024","400","400","400"
"521472","0","0","0"
"521728","200","200","200"
"521824","0","0","0"
"522432","0","0","0"
"522656","400","400","400"
"522688","0","0","0"
"523712","0","0","0"
"523808","0","0","0"
"524928","0","0","0"
"525280","0","0","0"
"526272","0","0","0"
"526560","0","0","0"
"527200","200","200","200"
"527552","0","0","0"
"530560","200","200","200"
"532384","200","200","200"
"532480","200","200","200"
"532640","0","0","0"
"533088","0","0","0"
"533216","200","200","200"
"533440","0","0","0"
"533600","0","0","0"
"533632","0","0","0"
"534784","0","0","0"
"535776","0","0","0"
