"Step","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_5","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_5__MAX","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_5","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_5__MAX","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_5","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_5__MAX"
"895872","","","","0.140625","0.140625","0.140625","","",""
"895936","","","","","","","0.98046875","0.98046875","0.98046875"
"907840","","","","","","","0.99609375","0.99609375","0.99609375"
"908288","","","","0.140625","0.140625","0.140625","","",""
"908608","1","1","1","","","","","",""
"920512","","","","","","","1","1","1"
"921152","","","","0.134765625","0.134765625","0.134765625","","",""
"921408","1","1","1","","","","","",""
"933440","0.994140625","0.994140625","0.994140625","","","","","",""
"933472","","","","","","","1","1","1"
"933664","","","","0.111328125","0.111328125","0.111328125","","",""
"945952","","","","","","","1","1","1"
"946816","0.994140625","0.994140625","0.994140625","","","","","",""
"947168","","","","0.09375","0.09375","0.09375","","",""
"959776","1","1","1","0.09375","0.09375","0.09375","","",""
"959904","","","","","","","1","1","1"
"972448","1","1","1","","","","","",""
"972512","","","","","","","0.994140625","0.994140625","0.994140625"
"972768","","","","0.09375","0.09375","0.09375","","",""
"984832","1","1","1","","","","","",""
"985184","","","","","","","0.994140625","0.994140625","0.994140625"
"985504","","","","0.09375","0.09375","0.09375","","",""
"997984","","","","","","","1","1","1"
"998144","","","","0.09375","0.09375","0.09375","","",""
"998336","0.98828125","0.98828125","0.98828125","","","","","",""
"1010400","","","","","","","1","1","1"
"1011040","","","","0.09375","0.09375","0.09375","","",""
"1011104","0.998046875","0.998046875","0.998046875","","","","","",""
"1022752","","","","0.099609375","0.099609375","0.099609375","","",""
"1023744","","","","","","","0.994140625","0.994140625","0.994140625"
"1023808","0.99609375","0.99609375","0.99609375","","","","","",""
"1036512","1","1","1","","","","","",""
"1036576","","","","0.1171875","0.1171875","0.1171875","1","1","1"
"1048960","","","","0.115234375","0.115234375","0.115234375","","",""
"1049088","","","","","","","0.9921875","0.9921875","0.9921875"
"1049504","1","1","1","","","","","",""
"1061760","1","1","1","","","","","",""
"1061888","","","","0.123046875","0.123046875","0.123046875","","",""
"1062368","","","","","","","0.990234375","0.990234375","0.990234375"
"1074080","","","","","","","0.994140625","0.994140625","0.994140625"
"1074688","","","","0.107421875","0.107421875","0.107421875","","",""
"1075072","0.98828125","0.98828125","0.98828125","","","","","",""
"1087296","","","","","","","0.994140625","0.994140625","0.994140625"
"1087552","","","","0.099609375","0.099609375","0.099609375","","",""
"1087616","1","1","1","","","","","",""
"1099168","0.99609375","0.99609375","0.99609375","","","","","",""
"1100256","","","","0.099609375","0.099609375","0.099609375","","",""
"1100512","","","","","","","1","1","1"
"1112672","","","","0.09375","0.09375","0.09375","","",""
"1113280","0.998046875","0.998046875","0.998046875","","","","","",""
"1113440","","","","","","","1","1","1"
"1125792","","","","0.09375","0.09375","0.09375","","",""
"1126048","","","","","","","1","1","1"
"1126368","1","1","1","","","","","",""
"1138624","","","","","","","1","1","1"
"1139008","0.994140625","0.994140625","0.994140625","","","","","",""
"1139040","","","","0.09375","0.09375","0.09375","","",""
"1151776","","","","0.09375","0.09375","0.09375","","",""
"1151872","0.98828125","0.98828125","0.98828125","","","","0.994140625","0.994140625","0.994140625"
"1164224","0.98828125","0.98828125","0.98828125","","","","","",""
"1164448","","","","","","","0.994140625","0.994140625","0.994140625"
"1164704","","","","0.09375","0.09375","0.09375","","",""
"1175168","","","","0.09375","0.09375","0.09375","","",""
"1176800","","","","","","","0.98828125","0.98828125","0.98828125"
"1177568","1","1","1","","","","","",""
"1189312","","","","0.09375","0.09375","0.09375","","",""
"1189696","1","1","1","","","","","",""
"1190304","","","","","","","0.994140625","0.994140625","0.994140625"
"1201728","","","","0.09375","0.09375","0.09375","","",""
"1202176","1","1","1","","","","","",""
"1203072","","","","","","","1","1","1"
"1215328","1","1","1","","","","","",""
"1215904","","","","","","","1","1","1"
"1215936","","","","0.09375","0.09375","0.09375","","",""
"1228064","","","","","","","1","1","1"
"1228704","1","1","1","","","","","",""
"1228768","","","","0.09375","0.09375","0.09375","","",""
"1240544","","","","","","","0.994140625","0.994140625","0.994140625"
"1240672","0.994140625","0.994140625","0.994140625","","","","","",""
"1240992","","","","0.099609375","0.099609375","0.099609375","","",""
"1253376","","","","0.09375","0.09375","0.09375","","",""
"1253696","1","1","1","","","","","",""
"1253984","","","","","","","0.994140625","0.994140625","0.994140625"
"1265472","1","1","1","","","","","",""
"1266752","","","","","","","0.994140625","0.994140625","0.994140625"
"1266880","","","","0.09375","0.09375","0.09375","","",""
"1279680","","","","","","","1","1","1"
"1279840","1","1","1","0.09375","0.09375","0.09375","","",""
"1291840","","","","0.09375","0.09375","0.09375","","",""
"1292640","1","1","1","","","","","",""
"1292672","","","","","","","1","1","1"
"1305056","","","","0.099609375","0.099609375","0.099609375","1","1","1"
"1305376","0.994140625","0.994140625","0.994140625","","","","","",""
"1318080","1","1","1","","","","","",""
"1318304","","","","0.09375","0.09375","0.09375","","",""
"1318368","","","","","","","0.998046875","0.998046875","0.998046875"
"1329696","0.99609375","0.99609375","0.99609375","","","","","",""
"1330816","","","","","","","0.99609375","0.99609375","0.99609375"
"1330848","","","","0.09375","0.09375","0.09375","","",""
"1343360","","","","","","","1","1","1"
"1343744","","","","0.099609375","0.099609375","0.099609375","","",""
"1343872","0.998046875","0.998046875","0.998046875","","","","","",""
"1356032","1","1","1","","","","","",""
"1356384","","","","","","","1","1","1"
"1356544","","","","0.09375","0.09375","0.09375","","",""
"1368416","","","","","","","0.98828125","0.98828125","0.98828125"
"1369472","1","1","1","","","","","",""
"1369504","","","","0.078125","0.078125","0.078125","","",""
"1381024","0.994140625","0.994140625","0.994140625","","","","","",""
"1381824","","","","","","","0.994140625","0.994140625","0.994140625"
"1382176","","","","0.0625","0.0625","0.0625","","",""
"1393440","1","1","1","","","","","",""
"1395072","","","","","","","1","1","1"
"1395136","","","","0.0625","0.0625","0.0625","","",""
"1407680","","","","","","","0.98828125","0.98828125","0.98828125"
"1407744","","","","0.056640625","0.056640625","0.056640625","","",""
"1407872","1","1","1","","","","","",""
"1420224","","","","0.0625","0.0625","0.0625","","",""
"1420288","","","","","","","0.98828125","0.98828125","0.98828125"
"1420704","1","1","1","","","","","",""
"1432416","0.994140625","0.994140625","0.994140625","","","","","",""
"1432992","","","","","","","1","1","1"
"1433344","","","","0.0625","0.0625","0.0625","","",""
"1445216","","","","","","","1","1","1"
"1445792","","","","0.07421875","0.07421875","0.07421875","","",""
"1446240","1","1","1","","","","","",""
"1457760","","","","","","","1","1","1"
"1459136","0.994140625","0.994140625","0.994140625","","","","","",""
"1459168","","","","0.07421875","0.07421875","0.07421875","","",""
"1471040","","","","","","","1","1","1"
"1471712","1","1","1","0.060546875","0.060546875","0.060546875","","",""
"1483456","","","","0.052734375","0.052734375","0.052734375","","",""
"1484192","1","1","1","","","","","",""
"1484736","","","","","","","1","1","1"
"1497152","","","","","","","1","1","1"
"1497376","1","1","1","0.033203125","0.033203125","0.033203125","","",""
"1509056","","","","0.03125","0.03125","0.03125","","",""
"1510016","1","1","1","","","","","",""
"1510208","","","","","","","1","1","1"
"1522016","","","","","","","1","1","1"
"1522848","1","1","1","","","","","",""
"1522944","","","","0.03515625","0.03515625","0.03515625","","",""
"1534496","0.994140625","0.994140625","0.994140625","","","","","",""
"1535808","","","","","","","1","1","1"
"1535840","","","","0.0390625","0.0390625","0.0390625","","",""
"1548064","1","1","1","","","","","",""
"1548416","","","","","","","1","1","1"
"1548736","","","","0.03125","0.03125","0.03125","","",""
"1560864","","","","","","","1","1","1"
"1561504","","","","0.03125","0.03125","0.03125","","",""
"1561568","1","1","1","","","","","",""
"1573536","","","","0.03125","0.03125","0.03125","","",""
"1574272","1","1","1","","","","","",""
"1574336","","","","","","","1","1","1"
"1586400","","","","","","","1","1","1"
"1586912","1","1","1","","","","","",""
"1587136","","","","0.03125","0.03125","0.03125","","",""
"1599520","1","1","1","","","","","",""
"1599712","","","","0.02734375","0.02734375","0.02734375","","",""
"1599840","","","","","","","1","1","1"
"1612448","","","","","","","1","1","1"
"1612512","","","","0","0","0","","",""
"1612736","0.994140625","0.994140625","0.994140625","","","","","",""
"1625376","","","","","","","0.994140625","0.994140625","0.994140625"
"1625472","0.994140625","0.994140625","0.994140625","","","","","",""
"1625536","","","","0","0","0","","",""
"1638048","","","","","","","0.994140625","0.994140625","0.994140625"
"1638080","","","","0","0","0","","",""
"1638240","1","1","1","","","","","",""
"1650784","1","1","1","","","","","",""
"1650912","","","","0","0","0","","",""
"1650976","","","","","","","1","1","1"
"1660768","","","","0.001953125","0.001953125","0.001953125","","",""
"1663872","0.994140625","0.994140625","0.994140625","","","","","",""
"1663904","","","","","","","1","1","1"
"1674272","","","","","","","0.806640625","0.806640625","0.806640625"
"1676032","0.8125","0.8125","0.8125","","","","","",""
"1676704","","","","0.19140625","0.19140625","0.19140625","","",""
"1688416","","","","0","0","0","","",""
"1688576","","","","","","","0.994140625","0.994140625","0.994140625"
"1689152","0.994140625","0.994140625","0.994140625","","","","","",""
"1700704","","","","0.0078125","0.0078125","0.0078125","","",""
"1702112","","","","","","","1","1","1"
"1702304","1","1","1","","","","","",""
"1714528","","","","","","","0.99609375","0.99609375","0.99609375"
"1714560","","","","0.009765625","0.009765625","0.009765625","","",""
"1714656","1","1","1","","","","","",""
"1727200","0.994140625","0.994140625","0.994140625","","","","","",""
"1727616","","","","","","","0.998046875","0.998046875","0.998046875"
"1727968","","","","0.017578125","0.017578125","0.017578125","","",""
"1740352","","","","","","","1","1","1"
"1740512","1","1","1","","","","","",""
"1740672","","","","0.04296875","0.04296875","0.04296875","","",""
"1752128","1","1","1","","","","","",""
"1753344","","","","0.07421875","0.07421875","0.07421875","","",""
"1753440","","","","","","","1","1","1"
"1765376","","","","0.111328125","0.111328125","0.111328125","","",""
"1765440","","","","","","","1","1","1"
"1766368","1","1","1","","","","","",""
"1778592","0.994140625","0.994140625","0.994140625","","","","","",""
"1778912","","","","0.146484375","0.146484375","0.146484375","","",""
"1778944","","","","","","","0.994140625","0.994140625","0.994140625"
"1791392","1","1","1","","","","","",""
"1791840","","","","0.1640625","0.1640625","0.1640625","0.96875","0.96875","0.96875"
"1804736","1","1","1","","","","","",""
"1804768","","","","0.193359375","0.193359375","0.193359375","0.990234375","0.990234375","0.990234375"
"1817024","1","1","1","","","","","",""
"1817376","","","","","","","0.98828125","0.98828125","0.98828125"
"1817440","","","","0.267578125","0.267578125","0.267578125","","",""
"1830080","","","","","","","0.994140625","0.994140625","0.994140625"
"1830272","1","1","1","","","","","",""
"1830368","","","","0.28125","0.28125","0.28125","","",""
"1841568","","","","","","","0.98828125","0.98828125","0.98828125"
"1841824","","","","0.27734375","0.27734375","0.27734375","","",""
"1842496","1","1","1","","","","","",""
"1855648","","","","","","","0.994140625","0.994140625","0.994140625"
"1855744","1","1","1","","","","","",""
"1855936","","","","0.30078125","0.30078125","0.30078125","","",""
"1866880","","","","0.31640625","0.31640625","0.31640625","","",""
"1868544","1","1","1","","","","","",""
"1868608","","","","","","","0.994140625","0.994140625","0.994140625"
"1880928","","","","","","","1","1","1"
"1881312","","","","0.34375","0.34375","0.34375","","",""
"1881408","1","1","1","","","","","",""
"1893536","","","","","","","1","1","1"
"1893984","","","","0.310546875","0.310546875","0.310546875","","",""
"1894112","1","1","1","","","","","",""
"1906240","1","1","1","","","","","",""
"1907072","","","","","","","1","1","1"
"1907168","","","","0.287109375","0.287109375","0.287109375","","",""
"1919104","1","1","1","","","","","",""
"1919488","","","","","","","1","1","1"
"1919712","","","","0.31640625","0.31640625","0.31640625","","",""
"1932640","","","","","","","1","1","1"
"1932704","","","","0.26953125","0.26953125","0.26953125","","",""
"1932736","0.98828125","0.98828125","0.98828125","","","","","",""
"1944512","1","1","1","","","","","",""
"1945216","","","","0.283203125","0.283203125","0.283203125","","",""
"1945408","","","","","","","0.98828125","0.98828125","0.98828125"
"1957920","","","","0.255859375","0.255859375","0.255859375","","",""
"1958144","","","","","","","0.994140625","0.994140625","0.994140625"
"1958304","1","1","1","","","","","",""
"1970592","","","","","","","1","1","1"
"1970944","1","1","1","","","","","",""
"1970976","","","","0.23046875","0.23046875","0.23046875","","",""
"1983136","","","","0.208984375","0.208984375","0.208984375","","",""
"1983904","","","","","","","1","1","1"
"1983968","1","1","1","","","","","",""
"1996096","1","1","1","","","","","",""
"1996128","","","","0.1875","0.1875","0.1875","","",""
"1996352","","","","","","","0.994140625","0.994140625","0.994140625"
