"Step","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3__MAX"
"678080","","","","0","0","0","","",""
"688960","","","","","","","0.1875","0.1875","0.1875"
"690464","0","0","0","","","","","",""
"690752","","","","0","0","0","","",""
"703200","","","","0","0","0","","",""
"703552","0","0","0","","","","","",""
"703840","","","","","","","0","0","0"
"716640","","","","0","0","0","","",""
"716672","0","0","0","","","","","",""
"716704","","","","","","","0","0","0"
"728736","0","0","0","","","","","",""
"728992","","","","0","0","0","","",""
"729280","","","","","","","0","0","0"
"741984","0","0","0","","","","","",""
"742144","","","","","","","0","0","0"
"742368","","","","0.005859375","0.005859375","0.005859375","","",""
"754720","0","0","0","","","","","",""
"755040","","","","","","","0","0","0"
"755136","","","","0","0","0","","",""
"767328","","","","","","","0","0","0"
"767776","","","","0","0","0","","",""
"767840","0","0","0","","","","","",""
"780384","","","","0","0","0","","",""
"780480","","","","","","","0","0","0"
"780704","0","0","0","","","","","",""
"791936","","","","0","0","0","","",""
"793184","","","","","","","0","0","0"
"793248","0","0","0","","","","","",""
"805824","","","","0.005859375","0.005859375","0.005859375","","",""
"806240","0.1875","0.1875","0.1875","","","","","",""
"806368","","","","","","","0","0","0"
"818784","0","0","0","0","0","0","","",""
"819072","","","","","","","0","0","0"
"830816","","","","","","","0","0","0"
"831424","0","0","0","","","","","",""
"831936","","","","0","0","0","","",""
"844352","0","0","0","","","","","",""
"844736","","","","0","0","0","0","0","0"
"856416","","","","0","0","0","","",""
"856864","0","0","0","","","","","",""
"857120","","","","","","","0","0","0"
"870016","","","","0","0","0","","",""
"870208","","","","","","","0","0","0"
"870336","0","0","0","","","","","",""
"882784","0","0","0","","","","","",""
"882848","","","","","","","0","0","0"
"883168","","","","0","0","0","","",""
"894432","","","","","","","0","0","0"
"895584","0","0","0","","","","","",""
"895776","","","","0.005859375","0.005859375","0.005859375","","",""
"908064","0","0","0","","","","","",""
"908320","","","","0.005859375","0.005859375","0.005859375","","",""
"908608","","","","","","","0","0","0"
"920896","0","0","0","","","","","",""
"921152","","","","","","","0","0","0"
"921280","","","","0.005859375","0.005859375","0.005859375","","",""
"933856","","","","","","","0","0","0"
"933888","0","0","0","","","","","",""
"934144","","","","0","0","0","","",""
"946816","","","","0","0","0","","",""
"947008","","","","","","","0","0","0"
"947040","0","0","0","","","","","",""
"959072","0","0","0","","","","","",""
"959488","","","","","","","0","0","0"
"959776","","","","0","0","0","","",""
"972160","0","0","0","","","","","",""
"972384","","","","0.001953125","0.001953125","0.001953125","","",""
"972512","","","","","","","0","0","0"
"985376","0","0","0","","","","","",""
"985504","","","","0.00390625","0.00390625","0.00390625","","",""
"985568","","","","","","","0","0","0"
"998048","","","","0","0","0","","",""
"998144","","","","","","","0","0","0"
"998176","0","0","0","","","","","",""
"1009920","0","0","0","","","","","",""
"1010528","","","","","","","0","0","0"
"1010848","","","","0.005859375","0.005859375","0.005859375","","",""
"1023552","0","0","0","","","","","",""
"1023616","","","","","","","0","0","0"
"1023872","","","","0","0","0","","",""
"1035776","0","0","0","","","","","",""
"1035808","","","","0","0","0","","",""
"1036448","","","","","","","0","0","0"
"1048992","","","","0","0","0","","",""
"1049376","0","0","0","","","","","",""
"1049536","","","","","","","0","0","0"
"1061280","0","0","0","","","","","",""
"1061984","","","","","","","0","0","0"
"1062208","","","","0","0","0","","",""
"1074528","0","0","0","","","","","",""
"1074880","","","","","","","0","0","0"
"1074976","","","","0","0","0","","",""
"1087168","0","0","0","","","","","",""
"1087904","","","","0","0","0","0","0","0"
"1100416","0","0","0","","","","","",""
"1100576","","","","0.005859375","0.005859375","0.005859375","","",""
"1100640","","","","","","","0","0","0"
"1113088","0","0","0","","","","","",""
"1113504","","","","0.005859375","0.005859375","0.005859375","0","0","0"
"1126176","","","","","","","0","0","0"
"1126336","0","0","0","","","","","",""
"1126368","","","","0","0","0","","",""
"1138592","","","","0.00390625","0.00390625","0.00390625","","",""
"1138752","0","0","0","","","","","",""
"1139104","","","","","","","0","0","0"
"1151616","","","","0.001953125","0.001953125","0.001953125","","",""
"1151904","0","0","0","","","","0","0","0"
"1164640","","","","0","0","0","","",""
"1164672","0","0","0","","","","0","0","0"
"1177440","","","","0","0","0","","",""
"1177504","0","0","0","","","","","",""
"1177536","","","","","","","0","0","0"
"1189856","0","0","0","","","","","",""
"1189920","","","","","","","0","0","0"
