"Step","a3c_Frostbite_runseed=0 - training/episode/reward","a3c_Frostbite_runseed=0 - training/episode/reward__MIN","a3c_Frostbite_runseed=0 - training/episode/reward__MAX"
"363616","80","80","80"
"363776","200","200","200"
"363936","180","180","180"
"364032","190","190","190"
"365504","100","100","100"
"365760","130","130","130"
"365792","100","100","100"
"366048","90","90","90"
"366912","190","190","190"
"367904","120","120","120"
"368832","180","180","180"
"369184","130","130","130"
"371168","160","160","160"
"371872","170","170","170"
"372096","140","140","140"
"372160","220","220","220"
"373536","170","170","170"
"374048","80","80","80"
"376384","200","200","200"
"377248","160","160","160"
"378432","150","150","150"
"379040","120","120","120"
"379616","160","160","160"
"379680","170","170","170"
"379904","160","160","160"
"380160","100","100","100"
"380960","190","190","190"
"381984","110","110","110"
"382432","180","180","180"
"382752","210","210","210"
"383616","210","210","210"
"384256","180","180","180"
"384768","180","180","180"
"386144","100","100","100"
"386880","80","80","80"
"387200","210","210","210"
"387488","190","190","190"
"390784","130","130","130"
"390912","220","220","220"
"391136","180","180","180"
"392224","50","50","50"
"392832","180","180","180"
"392864","120","120","120"
"394272","220","220","220"
"394752","150","150","150"
"395744","150","150","150"
"397792","170","170","170"
"397824","220","220","220"
"398016","250","250","250"
"400160","230","230","230"
"400672","80","80","80"
"401152","170","170","170"
"402304","200","200","200"
"402912","240","240","240"
"405696","110","110","110"
"405888","140","140","140"
"405984","130","130","130"
"408416","220","220","220"
"410528","120","120","120"
"411136","130","130","130"
"412288","210","210","210"
"412480","50","50","50"
"413280","240","240","240"
"413632","220","220","220"
"415168","200","200","200"
"416256","70","70","70"
"416960","160","160","160"
"418304","150","150","150"
"418624","200","200","200"
"420832","160","160","160"
"420960","140","140","140"
"421536","160","160","160"
"421568","200","200","200"
"421856","200","200","200"
"422528","190","190","190"
"424768","190","190","190"
"424928","130","130","130"
"425664","120","120","120"
"426144","180","180","180"
"426976","170","170","170"
"427072","150","150","150"
"427584","130","130","130"
"427616","160","160","160"
"428544","200","200","200"
"429184","210","210","210"
"429216","130","130","130"
"429504","110","110","110"
"430144","200","200","200"
"430272","170","170","170"
"433312","190","190","190"
"434240","150","150","150"
"434752","130","130","130"
"435264","180","180","180"
"435680","170","170","170"
"436608","100","100","100"
"436704","180","180","180"
"437920","180","180","180"
"439968","70","70","70"
"440704","200","200","200"
"442208","220","220","220"
"442528","200","200","200"
"446496","140","140","140"
"450016","120","120","120"
"450496","160","160","160"
"450560","160","160","160"
"451776","170","170","170"
"452288","120","120","120"
"453184","180","180","180"
"453248","120","120","120"
"453984","190","190","190"
"454464","130","130","130"
"455264","90","90","90"
"455392","210","210","210"
"455456","190","190","190"
"456224","180","180","180"
"456608","180","180","180"
"457408","170","170","170"
"458112","200","200","200"
"458464","70","70","70"
"458816","120","120","120"
"460192","190","190","190"
"463136","170","170","170"
"463584","130","130","130"
"465504","170","170","170"
"465984","210","210","210"
"466240","120","120","120"
"466272","120","120","120"
"467232","200","200","200"
"467360","210","210","210"
"468512","190","190","190"
"468800","130","130","130"
"469664","190","190","190"
"470592","200","200","200"
"471008","180","180","180"
"471552","130","130","130"
"473216","150","150","150"
"474432","160","160","160"
"474912","130","130","130"
"474944","160","160","160"
"476480","60","60","60"
"478528","190","190","190"
"478656","180","180","180"
"480192","200","200","200"
"480256","170","170","170"
"481632","120","120","120"
"481920","200","200","200"
"482080","200","200","200"
"482112","100","100","100"
"482400","190","190","190"
"483040","110","110","110"
"485152","220","220","220"
"485504","170","170","170"
"486944","180","180","180"
"488320","220","220","220"
"488448","260","260","260"
"489152","210","210","210"
"489536","190","190","190"
"490048","190","190","190"
"490112","110","110","110"
"491360","40","40","40"
"492192","130","130","130"
"492224","110","110","110"
"493632","150","150","150"
"495424","160","160","160"
"495744","180","180","180"
"496576","130","130","130"
"496768","140","140","140"
"497472","190","190","190"
"499616","160","160","160"
"500096","180","180","180"
"500640","180","180","180"
"502272","80","80","80"
"502656","170","170","170"
"504064","150","150","150"
"505120","90","90","90"
"505408","180","180","180"
"505760","220","220","220"
"506496","190","190","190"
"506528","210","210","210"
"506624","160","160","160"
"507392","190","190","190"
"507968","70","70","70"
"508224","230","230","230"
"508896","160","160","160"
"509536","180","180","180"
"510272","180","180","180"
"510720","190","190","190"
"511648","100","100","100"
"511808","200","200","200"
"512096","110","110","110"
"513376","180","180","180"
"513536","190","190","190"
"514016","160","160","160"
"517024","130","130","130"
"517152","110","110","110"
"521408","240","240","240"
"521536","170","170","170"
"521824","150","150","150"
"522080","120","120","120"
"522912","150","150","150"
"524672","130","130","130"
"525120","200","200","200"
"525184","110","110","110"
"525696","210","210","210"
"527392","150","150","150"
"527744","190","190","190"
"529984","170","170","170"
"530720","210","210","210"
"530976","130","130","130"
"532064","160","160","160"
"532896","170","170","170"
"533472","180","180","180"
"533888","170","170","170"
"535520","190","190","190"
"535552","120","120","120"
"536448","210","210","210"
"536736","200","200","200"
"537280","200","200","200"
"538112","210","210","210"
"540288","180","180","180"
"540576","190","190","190"
"540640","190","190","190"
"540800","150","150","150"
"541856","110","110","110"
"542528","250","250","250"
"542912","210","210","210"
"546272","240","240","240"
"547648","190","190","190"
"547904","140","140","140"
"548032","110","110","110"
"548544","220","220","220"
"549632","190","190","190"
"552160","250","250","250"
"552352","130","130","130"
"553376","130","130","130"
"553792","200","200","200"
"554880","200","200","200"
"555264","230","230","230"
"555680","220","220","220"
"557504","160","160","160"
"558400","150","150","150"
"559392","130","130","130"
"559808","130","130","130"
"561728","210","210","210"
"561824","200","200","200"
"562208","160","160","160"
"563296","90","90","90"
"563392","180","180","180"
"564512","140","140","140"
"565984","200","200","200"
"568320","190","190","190"
"569920","200","200","200"
"570016","200","200","200"
"570304","190","190","190"
"570592","170","170","170"
"570656","210","210","210"
"571936","160","160","160"
"572896","230","230","230"
"574624","200","200","200"
"575936","140","140","140"
"576800","170","170","170"
"577088","150","150","150"
"579456","210","210","210"
"579520","210","210","210"
"579840","200","200","200"
"580224","150","150","150"
"580800","210","210","210"
"581088","80","80","80"
"582880","150","150","150"
"582912","210","210","210"
"583008","180","180","180"
"584768","210","210","210"
"585280","150","150","150"
"586432","180","180","180"
"587744","150","150","150"
"588480","260","260","260"
"588640","250","250","250"
"589664","120","120","120"
"589792","180","180","180"
"592000","200","200","200"
"593376","110","110","110"
"593440","130","130","130"
"594304","160","160","160"
"594400","190","190","190"
"595360","190","190","190"
"595648","210","210","210"
"595936","120","120","120"
"596032","240","240","240"
"597408","240","240","240"
"597952","150","150","150"
"598048","230","230","230"
"598112","200","200","200"
"600672","210","210","210"
"601536","200","200","200"
"601728","220","220","220"
"601984","160","160","160"
"603168","180","180","180"
"603840","230","230","230"
"604672","90","90","90"
"606400","170","170","170"
"607392","230","230","230"
"607552","170","170","170"
"607744","210","210","210"
"607776","200","200","200"
"609088","170","170","170"
"610080","230","230","230"
"610432","190","190","190"
"610720","160","160","160"
"610944","230","230","230"
"611168","200","200","200"
"613792","260","260","260"
"614688","110","110","110"
"616576","210","210","210"
"616896","140","140","140"
"617632","250","250","250"
"618976","130","130","130"
"619808","190","190","190"
"619904","120","120","120"
"620128","110","110","110"
"620224","210","210","210"
"621152","210","210","210"
"622112","180","180","180"
"622752","250","250","250"
"623136","230","230","230"
"625088","200","200","200"
"625312","200","200","200"
"625920","180","180","180"
"626752","190","190","190"
"627072","190","190","190"
"627904","170","170","170"
"628352","220","220","220"
"628864","190","190","190"
"629216","120","120","120"
"630912","180","180","180"
"631424","150","150","150"
