"Step","MDM_Gravitar_25_3 - hierarchy_use/hierarchy_selected_4","MDM_Gravitar_25_3 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Gravitar_25_3 - hierarchy_use/hierarchy_selected_4__MAX","MDM_Gravitar_25_2 - hierarchy_use/hierarchy_selected_4","MDM_Gravitar_25_2 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Gravitar_25_2 - hierarchy_use/hierarchy_selected_4__MAX","MDM_Gravitar_25_1 - hierarchy_use/hierarchy_selected_4","MDM_Gravitar_25_1 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Gravitar_25_1 - hierarchy_use/hierarchy_selected_4__MAX"
"675968","0.03125","0.03125","0.03125","","","","","",""
"677952","","","","","","","1","1","1"
"678144","","","","0","0","0","","",""
"689600","","","","0.005859375","0.005859375","0.005859375","","",""
"690624","0.03125","0.03125","0.03125","","","","","",""
"691072","","","","","","","0.8125","0.8125","0.8125"
"703712","0.03125","0.03125","0.03125","","","","","",""
"703776","","","","","","","1","1","1"
"703968","","","","0.01953125","0.01953125","0.01953125","","",""
"716384","","","","","","","1","1","1"
"716576","","","","0.025390625","0.025390625","0.025390625","","",""
"716640","0.041015625","0.041015625","0.041015625","","","","","",""
"729312","","","","0.048828125","0.048828125","0.048828125","","",""
"729408","","","","","","","1","1","1"
"729536","0.0625","0.0625","0.0625","","","","","",""
"741216","0.03125","0.03125","0.03125","0.107421875","0.107421875","0.107421875","","",""
"741920","","","","","","","1","1","1"
"754560","0.03125","0.03125","0.03125","","","","","",""
"754784","","","","","","","1","1","1"
"754848","","","","0.125","0.125","0.125","","",""
"766752","0.03125","0.03125","0.03125","","","","","",""
"767456","","","","","","","1","1","1"
"767872","","","","0.142578125","0.142578125","0.142578125","","",""
"780128","0.05859375","0.05859375","0.05859375","","","","","",""
"780320","","","","","","","1","1","1"
"780768","","","","0.14453125","0.14453125","0.14453125","","",""
"792960","","","","","","","1","1","1"
"792992","0.048828125","0.048828125","0.048828125","","","","","",""
"793248","","","","0.162109375","0.162109375","0.162109375","","",""
"805856","","","","","","","1","1","1"
"805952","","","","0.15625","0.15625","0.15625","","",""
"806080","0.044921875","0.044921875","0.044921875","","","","","",""
"817600","","","","0.193359375","0.193359375","0.193359375","","",""
"818560","0.0625","0.0625","0.0625","","","","","",""
"819104","","","","","","","1","1","1"
"830464","","","","0.251953125","0.251953125","0.251953125","","",""
"831520","0.0625","0.0625","0.0625","","","","","",""
"831648","","","","","","","1","1","1"
"843808","","","","0.3046875","0.3046875","0.3046875","","",""
"843904","0.0625","0.0625","0.0625","","","","","",""
"844704","","","","","","","1","1","1"
"856320","","","","0.3125","0.3125","0.3125","","",""
"856448","","","","","","","1","1","1"
"857152","0.037109375","0.037109375","0.037109375","","","","","",""
"869888","","","","0.33984375","0.33984375","0.33984375","","",""
"870080","","","","","","","1","1","1"
"870240","0.03125","0.03125","0.03125","","","","","",""
"882976","","","","0.34375","0.34375","0.34375","1","1","1"
"883136","0.01953125","0.01953125","0.01953125","","","","","",""
"894912","0.0546875","0.0546875","0.0546875","","","","","",""
"895712","","","","","","","1","1","1"
"895872","","","","0.34375","0.34375","0.34375","","",""
"907040","","","","0.34375","0.34375","0.34375","","",""
"907904","","","","","","","1","1","1"
"908576","0.02734375","0.02734375","0.02734375","","","","","",""
"921184","","","","","","","1","1","1"
"921216","0.005859375","0.005859375","0.005859375","","","","","",""
"921472","","","","0.35546875","0.35546875","0.35546875","","",""
"932512","0","0","0","","","","","",""
"934016","","","","","","","1","1","1"
"934336","","","","0.375","0.375","0.375","","",""
"946720","","","","","","","1","1","1"
"946944","0","0","0","0.375","0.375","0.375","","",""
"958496","","","","0.392578125","0.392578125","0.392578125","","",""
"959584","0","0","0","","","","","",""
"959744","","","","","","","1","1","1"
"971008","","","","0.42578125","0.42578125","0.42578125","","",""
"971296","","","","","","","1","1","1"
"972672","0","0","0","","","","","",""
"983936","","","","0.42578125","0.42578125","0.42578125","","",""
"985536","0","0","0","","","","1","1","1"
"998144","0","0","0","","","","1","1","1"
"998336","","","","0.431640625","0.431640625","0.431640625","","",""
"1009920","0","0","0","","","","","",""
"1010912","","","","","","","1","1","1"
"1010976","","","","0.4375","0.4375","0.4375","","",""
"1022464","0","0","0","","","","","",""
"1023264","","","","","","","1","1","1"
"1023744","","","","0.4375","0.4375","0.4375","","",""
"1036288","","","","","","","1","1","1"
"1036576","","","","0.4375","0.4375","0.4375","","",""
"1036672","0","0","0","","","","","",""
"1048928","0","0","0","","","","","",""
"1049440","","","","0.4375","0.4375","0.4375","","",""
"1049504","","","","","","","1","1","1"
"1060928","0","0","0","","","","","",""
"1061440","","","","0.466796875","0.466796875","0.466796875","","",""
"1062368","","","","","","","1","1","1"
"1074624","0","0","0","","","","","",""
"1074944","","","","0.578125","0.578125","0.578125","","",""
"1074976","","","","","","","1","1","1"
"1085824","","","","0.6328125","0.6328125","0.6328125","","",""
"1087328","0","0","0","","","","","",""
"1087936","","","","","","","1","1","1"
"1100320","","","","0.693359375","0.693359375","0.693359375","","",""
"1100352","","","","","","","1","1","1"
"1100480","0","0","0","","","","","",""
"1112384","","","","","","","1","1","1"
"1113056","0","0","0","","","","","",""
"1113472","","","","0.73046875","0.73046875","0.73046875","","",""
"1125696","0","0","0","","","","","",""
"1126016","","","","0.744140625","0.744140625","0.744140625","","",""
"1126272","","","","","","","1","1","1"
"1138656","","","","0.8125","0.8125","0.8125","","",""
"1138848","0","0","0","","","","","",""
"1138912","","","","","","","1","1","1"
"1149696","","","","0.9453125","0.9453125","0.9453125","","",""
"1151072","0.005859375","0.005859375","0.005859375","","","","","",""
"1151872","","","","","","","1","1","1"
"1163520","0","0","0","","","","","",""
"1164320","","","","","","","1","1","1"
"1164384","","","","0.96875","0.96875","0.96875","","",""
"1176864","0","0","0","","","","","",""
"1176960","","","","","","","1","1","1"
"1177536","","","","0.978515625","0.978515625","0.978515625","","",""
"1189856","","","","0.994140625","0.994140625","0.994140625","","",""
"1190144","","","","","","","1","1","1"
"1190304","0","0","0","","","","","",""
"1201184","0","0","0","","","","","",""
"1202560","","","","0.994140625","0.994140625","0.994140625","","",""
"1203040","","","","","","","1","1","1"
"1214080","0","0","0","","","","","",""
"1215104","","","","1","1","1","","",""
"1215936","","","","","","","1","1","1"
"1228096","","","","","","","1","1","1"
"1228736","0","0","0","","","","","",""
"1228768","","","","0.994140625","0.994140625","0.994140625","","",""
"1240768","","","","0.9921875","0.9921875","0.9921875","","",""
"1240960","0","0","0","","","","","",""
"1241472","","","","","","","1","1","1"
"1252800","","","","0.984375","0.984375","0.984375","","",""
"1252992","0","0","0","","","","","",""
"1253440","","","","","","","1","1","1"
"1264672","","","","","","","1","1","1"
"1266688","0","0","0","","","","","",""
"1267104","","","","1","1","1","","",""
"1278176","","","","","","","1","1","1"
"1279872","0","0","0","","","","","",""
"1279904","","","","1","1","1","","",""
"1291008","","","","1","1","1","","",""
"1292416","0","0","0","","","","","",""
"1292608","","","","","","","1","1","1"
"1304672","","","","","","","1","1","1"
"1305152","","","","1","1","1","","",""
"1305440","0","0","0","","","","","",""
"1317504","0","0","0","","","","","",""
"1317600","","","","0.994140625","0.994140625","0.994140625","","",""
"1318240","","","","","","","1","1","1"
"1329856","0","0","0","","","","","",""
"1330752","","","","1","1","1","","",""
"1331072","","","","","","","1","1","1"
"1343584","0","0","0","","","","1","1","1"
"1343840","","","","1","1","1","","",""
"1355232","","","","","","","1","1","1"
"1355776","0","0","0","","","","","",""
"1356608","","","","1","1","1","","",""
"1369344","","","","","","","1","1","1"
"1369376","0","0","0","","","","","",""
"1369568","","","","1","1","1","","",""
"1381664","","","","0.994140625","0.994140625","0.994140625","","",""
"1381920","","","","","","","1","1","1"
"1382304","0","0","0","","","","","",""
"1392928","0","0","0","","","","","",""
"1393888","","","","","","","1","1","1"
"1394304","","","","1","1","1","","",""
"1406304","","","","1","1","1","","",""
"1407168","","","","","","","1","1","1"
"1407200","0","0","0","","","","","",""
"1418112","","","","","","","1","1","1"
"1420608","0","0","0","","","","","",""
"1420640","","","","1","1","1","","",""
"1432768","","","","0.998046875","0.998046875","0.998046875","","",""
"1432864","","","","","","","1","1","1"
"1433312","0","0","0","","","","","",""
"1445440","","","","","","","1","1","1"
"1445504","0","0","0","","","","","",""
"1445728","","","","0.99609375","0.99609375","0.99609375","","",""
"1457760","0","0","0","","","","","",""
"1458336","","","","0.98828125","0.98828125","0.98828125","","",""
"1459168","","","","","","","1","1","1"
"1470656","","","","1","1","1","","",""
"1471424","0","0","0","","","","","",""
"1471968","","","","","","","1","1","1"
"1482400","","","","","","","1","1","1"
"1483456","0","0","0","","","","","",""
"1484352","","","","0.994140625","0.994140625","0.994140625","","",""
"1496704","0","0","0","","","","","",""
"1496768","","","","1","1","1","","",""
"1496800","","","","","","","1","1","1"
"1509216","","","","","","","1","1","1"
"1510048","0","0","0","","","","","",""
"1510368","","","","1","1","1","","",""
"1520672","","","","1","1","1","","",""
"1522912","","","","","","","1","1","1"
"1523168","0","0","0","","","","","",""
"1535392","","","","1","1","1","","",""
"1535520","0","0","0","","","","","",""
"1535872","","","","","","","1","1","1"
"1546720","0","0","0","","","","","",""
"1547360","","","","","","","1","1","1"
"1548480","","","","0.994140625","0.994140625","0.994140625","","",""
"1561376","","","","1","1","1","","",""
"1561504","0","0","0","","","","","",""
"1561536","","","","","","","1","1","1"
"1572576","","","","","","","1","1","1"
"1573632","0","0","0","","","","","",""
"1574080","","","","1","1","1","","",""
"1586112","","","","0.994140625","0.994140625","0.994140625","","",""
"1586144","0","0","0","","","","","",""
"1586656","","","","","","","1","1","1"
"1599616","","","","0.994140625","0.994140625","0.994140625","","",""
"1599712","","","","","","","1","1","1"
"1599936","0","0","0","","","","","",""
"1611168","","","","1","1","1","","",""
"1611776","","","","","","","1","1","1"
"1612512","0","0","0","","","","","",""
"1624576","0","0","0","","","","","",""
"1625120","","","","","","","1","1","1"
"1625568","","","","0.994140625","0.994140625","0.994140625","","",""
"1637376","","","","","","","1","1","1"
"1637888","","","","1","1","1","","",""
"1638016","0","0","0","","","","","",""
"1649536","0","0","0","","","","","",""
"1650592","","","","","","","1","1","1"
"1650976","","","","1","1","1","","",""
"1663168","0","0","0","","","","","",""
"1663520","","","","","","","1","1","1"
"1663712","","","","1","1","1","","",""
"1676096","","","","0.8125","0.8125","0.8125","","",""
"1676192","0.1875","0.1875","0.1875","","","","","",""
"1676704","","","","","","","1","1","1"
"1687584","","","","0.98828125","0.98828125","0.98828125","","",""
"1688768","0","0","0","","","","","",""
"1689568","","","","","","","1","1","1"
"1701280","0","0","0","","","","","",""
"1701920","","","","1","1","1","","",""
"1702304","","","","","","","1","1","1"
"1713952","","","","","","","1","1","1"
"1714368","","","","0.994140625","0.994140625","0.994140625","","",""
"1714464","0","0","0","","","","","",""
"1726048","","","","","","","1","1","1"
"1727424","","","","1","1","1","","",""
"1727808","0","0","0","","","","","",""
"1738944","0","0","0","","","","","",""
"1739392","","","","","","","1","1","1"
"1740672","","","","1","1","1","","",""
"1752384","","","","1","1","1","","",""
"1752672","","","","","","","1","1","1"
"1753568","0","0","0","","","","","",""
"1765824","","","","1","1","1","","",""
"1766080","0","0","0","","","","","",""
"1766272","","","","","","","1","1","1"
"1777600","","","","","","","1","1","1"
"1778624","0","0","0","","","","","",""
"1778816","","","","1","1","1","","",""
"1790816","0","0","0","","","","","",""
"1791488","","","","","","","1","1","1"
"1791872","","","","1","1","1","","",""
"1803520","0","0","0","","","","","",""
"1803584","","","","1","1","1","","",""
"1804544","","","","","","","1","1","1"
"1815232","","","","1","1","1","","",""
"1816736","0","0","0","","","","","",""
"1817536","","","","","","","1","1","1"
"1829568","","","","","","","1","1","1"
"1829760","0","0","0","","","","","",""
"1830368","","","","1","1","1","","",""
"1842464","","","","","","","1","1","1"
"1842784","","","","0.994140625","0.994140625","0.994140625","","",""
"1843168","0","0","0","","","","","",""
"1855200","0","0","0","","","","","",""
"1855232","","","","","","","1","1","1"
"1855552","","","","1","1","1","","",""
"1868576","","","","","","","1","1","1"
"1868640","0","0","0","","","","","",""
"1868672","","","","1","1","1","","",""
"1881152","","","","","","","1","1","1"
"1881344","","","","1","1","1","","",""
"1881408","0","0","0","","","","","",""
"1893472","","","","1","1","1","","",""
"1893792","0","0","0","","","","","",""
"1893984","","","","","","","1","1","1"
"1906336","","","","","","","1","1","1"
"1906944","0","0","0","","","","","",""
"1907008","","","","1","1","1","","",""
"1919168","","","","1","1","1","","",""
"1919648","0","0","0","","","","","",""
"1919872","","","","","","","1","1","1"
"1931776","","","","","","","1","1","1"
"1931904","","","","1","1","1","","",""
"1931968","0","0","0","","","","","",""
"1944544","0","0","0","","","","","",""
"1945184","","","","","","","1","1","1"
"1945536","","","","1","1","1","","",""
"1956800","0","0","0","","","","","",""
"1957376","","","","1","1","1","","",""
"1957792","","","","","","","1","1","1"
"1970304","","","","","","","1","1","1"
"1970880","0","0","0","","","","","",""
"1970976","","","","1","1","1","","",""
"1983040","0","0","0","","","","","",""
"1983168","","","","","","","1","1","1"
"1983584","","","","1","1","1","","",""
"1994880","","","","","","","1","1","1"
"1996416","0","0","0","","","","","",""
"1996768","","","","1","1","1","","",""
"2008384","","","","0.994140625","0.994140625","0.994140625","","",""
"2008960","","","","","","","1","1","1"
"2009568","0","0","0","","","","","",""
"2020256","0","0","0","","","","","",""
"2022112","","","","","","","1","1","1"
"2022336","","","","1","1","1","","",""
"2035008","","","","","","","1","1","1"
"2035104","0","0","0","","","","","",""
"2035136","","","","1","1","1","","",""
"2047616","","","","1","1","1","","",""
"2047872","0","0","0","","","","0.994140625","0.994140625","0.994140625"
"2059168","","","","","","","1","1","1"
"2060224","","","","1","1","1","","",""
"2060736","0","0","0","","","","","",""
"2072800","","","","1","1","1","","",""
"2073472","","","","","","","1","1","1"
"2073504","0","0","0","","","","","",""
"2085024","","","","","","","1","1","1"
"2086080","0","0","0","","","","","",""
"2086368","","","","0.998046875","0.998046875","0.998046875","","",""
"2099136","0","0","0","","","","1","1","1"
"2099168","","","","0.984375","0.984375","0.984375","","",""
"2110464","0","0","0","","","","","",""
"2111680","","","","","","","1","1","1"
"2111712","","","","1","1","1","","",""
"2122336","0","0","0","","","","","",""
"2123584","","","","","","","1","1","1"
"2124704","","","","1","1","1","","",""
"2136736","","","","","","","1","1","1"
"2137152","0","0","0","","","","","",""
"2137248","","","","1","1","1","","",""
"2149376","0","0","0","","","","","",""
"2149600","","","","","","","1","1","1"
"2149664","","","","0.98828125","0.98828125","0.98828125","","",""
"2162752","","","","","","","1","1","1"
"2162976","","","","1","1","1","","",""
"2163072","0","0","0","","","","","",""
"2174368","","","","0.9921875","0.9921875","0.9921875","","",""
"2174880","0.00390625","0.00390625","0.00390625","","","","","",""
"2175936","","","","","","","1","1","1"
"2188032","0.001953125","0.001953125","0.001953125","","","","","",""
"2188320","","","","0.99609375","0.99609375","0.99609375","","",""
"2188672","","","","","","","1","1","1"
"2198464","0","0","0","","","","","",""
"2200768","","","","0.998046875","0.998046875","0.998046875","","",""
"2201280","","","","","","","1","1","1"
"2213536","0","0","0","","","","","",""
"2214144","","","","","","","1","1","1"
"2214336","","","","0.99609375","0.99609375","0.99609375","","",""
"2224960","0","0","0","","","","","",""
"2225120","","","","","","","1","1","1"
"2226880","","","","1","1","1","","",""
"2239424","","","","1","1","1","","",""
"2239840","0","0","0","","","","","",""
"2239936","","","","","","","1","1","1"
"2251872","0","0","0","","","","","",""
