"Step","MDM_3 - hierarchy_use/hierarchy_selected_5","MDM_3 - hierarchy_use/hierarchy_selected_5__MIN","MDM_3 - hierarchy_use/hierarchy_selected_5__MAX","MDM_2 - hierarchy_use/hierarchy_selected_5","MDM_2 - hierarchy_use/hierarchy_selected_5__MIN","MDM_2 - hierarchy_use/hierarchy_selected_5__MAX","MDM_1 - hierarchy_use/hierarchy_selected_5","MDM_1 - hierarchy_use/hierarchy_selected_5__MIN","MDM_1 - hierarchy_use/hierarchy_selected_5__MAX"
"1199712","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"1199840","1","1","1","","","","","",""
"1202656","","","","","","","1","1","1"
"1215872","","","","","","","0.984375","0.984375","0.984375"
"1218432","","","","0","0","0","","",""
"1219680","1","1","1","","","","","",""
"1228736","","","","","","","0.986328125","0.986328125","0.986328125"
"1238304","1","1","1","","","","","",""
"1239424","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"1241280","","","","","","","0.98046875","0.98046875","0.98046875"
"1253568","","","","","","","0.990234375","0.990234375","0.990234375"
"1259808","1","1","1","","","","","",""
"1259936","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"1266176","","","","","","","0.98828125","0.98828125","0.98828125"
"1278720","","","","","","","0.994140625","0.994140625","0.994140625"
"1278944","","","","0.012500000186264515","0.012500000186264515","0.012500000186264515","","",""
"1279712","1","1","1","","","","","",""
"1292640","","","","","","","0.982421875","0.982421875","0.982421875"
"1299552","1","1","1","","","","","",""
"1299872","","","","0","0","0","","",""
"1305056","","","","","","","0.982421875","0.982421875","0.982421875"
"1318304","","","","","","","0.98828125","0.98828125","0.98828125"
"1319328","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"1319808","1","1","1","","","","","",""
"1331008","","","","","","","1","1","1"
"1339520","","","","0","0","0","","",""
"1339552","1","1","1","","","","","",""
"1343840","","","","","","","0.982421875","0.982421875","0.982421875"
"1356128","","","","","","","0.962890625","0.962890625","0.962890625"
"1358816","","","","0","0","0","","",""
"1359936","1","1","1","","","","","",""
"1369408","","","","","","","0.96875","0.96875","0.96875"
"1378432","","","","0","0","0","","",""
"1379584","1","1","1","","","","","",""
"1381984","","","","","","","0.98046875","0.98046875","0.98046875"
"1395040","","","","","","","0.98828125","0.98828125","0.98828125"
"1399104","1","1","1","","","","","",""
"1399712","","","","0","0","0","","",""
"1405664","","","","","","","1","1","1"
"1419424","","","","0","0","0","","",""
"1419584","1","1","1","","","","","",""
"1420352","","","","","","","0.982421875","0.982421875","0.982421875"
"1433248","","","","","","","0.96875","0.96875","0.96875"
"1439744","1","1","1","","","","","",""
"1439808","","","","0","0","0","","",""
"1445184","","","","","","","0.96875","0.96875","0.96875"
"1458656","","","","","","","0.96875","0.96875","0.96875"
"1459264","","","","0","0","0","","",""
"1459648","1","1","1","","","","","",""
"1471776","","","","","","","0.96875","0.96875","0.96875"
"1479840","1","1","1","","","","","",""
"1479936","","","","0.012500000186264515","0.012500000186264515","0.012500000186264515","","",""
"1484480","","","","","","","0.96875","0.96875","0.96875"
"1497184","","","","","","","0.974609375","0.974609375","0.974609375"
"1497920","","","","0","0","0","","",""
"1499488","1","1","1","","","","","",""
"1510240","","","","","","","1","1","1"
"1519488","1","1","1","","","","","",""
"1519744","","","","0","0","0","","",""
"1523072","","","","","","","1","1","1"
"1535456","","","","","","","1","1","1"
"1539168","1","1","1","","","","","",""
"1539744","","","","0","0","0","","",""
"1547840","","","","","","","0.986328125","0.986328125","0.986328125"
"1559712","1","1","1","","","","","",""
"1559936","","","","0","0","0","","",""
"1561344","","","","","","","0.984375","0.984375","0.984375"
"1573408","","","","","","","1","1","1"
"1579136","1","1","1","","","","","",""
"1579808","","","","0","0","0","","",""
"1587168","","","","","","","0.9921875","0.9921875","0.9921875"
"1598944","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"1599456","1","1","1","","","","","",""
"1599680","","","","","","","0.984375","0.984375","0.984375"
"1612352","","","","","","","1","1","1"
"1619520","1","1","1","","","","","",""
"1619776","","","","0","0","0","","",""
"1625568","","","","","","","1","1","1"
"1638336","","","","","","","1","1","1"
"1639904","","","","0","0","0","","",""
"1639968","1","1","1","","","","","",""
"1651104","","","","","","","1","1","1"
"1659584","","","","0","0","0","","",""
"1659840","1","1","1","","","","","",""
"1663392","","","","","","","1","1","1"
"1676672","","","","","","","1","1","1"
"1679744","","","","0","0","0","","",""
"1679936","1","1","1","","","","","",""
"1689408","","","","","","","0.98828125","0.98828125","0.98828125"
"1699488","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"1699680","1","1","1","","","","","",""
"1702112","","","","","","","0.974609375","0.974609375","0.974609375"
"1714912","","","","","","","0.984375","0.984375","0.984375"
"1719680","","","","0","0","0","","",""
"1719776","1","1","1","","","","","",""
"1727616","","","","","","","0.982421875","0.982421875","0.982421875"
"1739744","1","1","1","","","","","",""
"1739808","","","","0","0","0","","",""
"1740704","","","","","","","1","1","1"
"1753280","","","","","","","1","1","1"
"1759328","1","1","1","","","","","",""
"1759904","","","","0","0","0","","",""
"1765856","","","","","","","1","1","1"
"1778656","","","","","","","1","1","1"
"1779776","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"1779904","1","1","1","","","","","",""
"1791744","","","","","","","1","1","1"
"1799680","","","","0","0","0","","",""
"1799744","1","1","1","","","","","",""
"1804608","","","","","","","1","1","1"
"1816864","","","","","","","1","1","1"
"1818432","","","","0.012500000186264515","0.012500000186264515","0.012500000186264515","","",""
"1818656","1","1","1","","","","","",""
"1830016","","","","","","","0.98046875","0.98046875","0.98046875"
"1839616","1","1","1","","","","","",""
"1839872","","","","0","0","0","","",""
"1841920","","","","","","","0.931640625","0.931640625","0.931640625"
"1855968","","","","","","","0.92578125","0.92578125","0.92578125"
"1859584","1","1","1","","","","","",""
"1859776","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"1868768","","","","","","","0.962890625","0.962890625","0.962890625"
"1879264","0.9987499713897705","0.9987499713897705","0.9987499713897705","","","","","",""
"1879936","","","","0","0","0","","",""
"1880832","","","","","","","0.935546875","0.935546875","0.935546875"
"1893024","","","","","","","0.875","0.875","0.875"
"1898752","0.9975000023841858","0.9975000023841858","0.9975000023841858","","","","","",""
"1899168","","","","0","0","0","","",""
"1906112","","","","","","","0.87890625","0.87890625","0.87890625"
"1919648","","","","","","","0.87109375","0.87109375","0.87109375"
"1919904","","","","0","0","0","","",""
"1919936","1","1","1","","","","","",""
"1932256","","","","","","","0.84375","0.84375","0.84375"
"1939744","","","","0","0","0","","",""
"1939776","1","1","1","","","","","",""
"1945376","","","","","","","0.853515625","0.853515625","0.853515625"
"1958048","","","","","","","0.875","0.875","0.875"
"1958944","","","","0","0","0","","",""
"1959968","1","1","1","","","","","",""
"1970816","","","","","","","0.892578125","0.892578125","0.892578125"
"1979488","","","","0","0","0","","",""
"1979808","1","1","1","","","","","",""
"1983744","","","","","","","0.86328125","0.86328125","0.86328125"
"1995456","","","","","","","0.892578125","0.892578125","0.892578125"
"1999584","1","1","1","","","","","",""
"1999616","","","","0","0","0","","",""
"2009344","","","","","","","0.85546875","0.85546875","0.85546875"
"2018624","","","","0","0","0","","",""
"2019872","1","1","1","","","","","",""
"2021792","","","","","","","0.84375","0.84375","0.84375"
"2034560","","","","","","","0.84375","0.84375","0.84375"
"2039616","1","1","1","","","","","",""
"2039712","","","","0","0","0","","",""
"2047328","","","","","","","0.84375","0.84375","0.84375"
"2059200","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"2059904","","","","","","","0.837890625","0.837890625","0.837890625"
"2059968","1","1","1","","","","","",""
"2073440","","","","","","","0.814453125","0.814453125","0.814453125"
"2079488","","","","0","0","0","","",""
"2079968","1","1","1","","","","","",""
"2084960","","","","","","","0.806640625","0.806640625","0.806640625"
"2097728","","","","","","","0.76953125","0.76953125","0.76953125"
"2099328","1","1","1","","","","","",""
"2099872","","","","0","0","0","","",""
"2111488","","","","","","","0.7265625","0.7265625","0.7265625"
"2118944","1","1","1","","","","","",""
"2119840","","","","0.012500000186264515","0.012500000186264515","0.012500000186264515","","",""
"2124416","","","","","","","0.71875","0.71875","0.71875"
"2137504","","","","","","","0.71875","0.71875","0.71875"
"2139616","0.9962499737739563","0.9962499737739563","0.9962499737739563","","","","","",""
"2139904","","","","0","0","0","","",""
"2150208","","","","","","","0.701171875","0.701171875","0.701171875"
"2159808","1","1","1","","","","","",""
"2159872","","","","0","0","0","","",""
"2162816","","","","","","","0.693359375","0.693359375","0.693359375"
"2175808","","","","","","","0.6875","0.6875","0.6875"
"2179008","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"2179456","1","1","1","","","","","",""
"2188288","","","","","","","0.6875","0.6875","0.6875"
"2198816","","","","0","0","0","","",""
"2199456","1","1","1","","","","","",""
"2201216","","","","","","","0.6875","0.6875","0.6875"
"2214304","","","","","","","0.6875","0.6875","0.6875"
"2219424","","","","0","0","0","","",""
"2219776","1","1","1","","","","","",""
"2226912","","","","","","","0.658203125","0.658203125","0.658203125"
"2239168","","","","0","0","0","","",""
"2239520","","","","","","","0.65625","0.65625","0.65625"
"2239648","1","1","1","","","","","",""
"2252096","","","","","","","0.65625","0.65625","0.65625"
"2259648","1","1","1","","","","","",""
"2259840","","","","0","0","0","","",""
"2265024","","","","","","","0.615234375","0.615234375","0.615234375"
"2278336","","","","","","","0.59375","0.59375","0.59375"
"2279712","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"2279744","1","1","1","","","","","",""
"2290464","","","","","","","0.568359375","0.568359375","0.568359375"
"2299680","1","1","1","0","0","0","","",""
"2303232","","","","","","","0.51953125","0.51953125","0.51953125"
"2316736","","","","","","","0.5","0.5","0.5"
"2319104","1","1","1","","","","","",""
"2319840","","","","0","0","0","","",""
"2329472","","","","","","","0.5","0.5","0.5"
"2338080","","","","0","0","0","","",""
"2339776","1","1","1","","","","","",""
"2342304","","","","","","","0.5","0.5","0.5"
"2353952","","","","","","","0.5","0.5","0.5"
"2359040","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"2359552","1","1","1","","","","","",""
"2367552","","","","","","","0.5","0.5","0.5"
"2379808","","","","0","0","0","","",""
"2379872","1","1","1","","","","","",""
"2380416","","","","","","","0.5","0.5","0.5"
"2393408","","","","","","","0.48046875","0.48046875","0.48046875"
"2398784","","","","0","0","0","","",""
"2399968","1","1","1","","","","","",""
"2406336","","","","","","","0.46875","0.46875","0.46875"
"2416224","","","","","","","0.46875","0.46875","0.46875"
"2419520","","","","0","0","0","","",""
"2419840","1","1","1","","","","","",""
"2431680","","","","","","","0.46875","0.46875","0.46875"
"2439648","1","1","1","0","0","0","","",""
"2444672","","","","","","","0.46875","0.46875","0.46875"
"2457568","","","","","","","0.46875","0.46875","0.46875"
"2459904","1","1","1","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"2469376","","","","","","","0.46875","0.46875","0.46875"
"2479520","1","1","1","","","","","",""
"2479936","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"2483040","","","","","","","0.46875","0.46875","0.46875"
"2494880","","","","","","","0.46875","0.46875","0.46875"
"2499520","","","","0","0","0","","",""
"2499808","1","1","1","","","","","",""
"2508224","","","","","","","0.46875","0.46875","0.46875"
"2519616","1","1","1","","","","","",""
"2519808","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"2520992","","","","","","","0.46875","0.46875","0.46875"
"2533984","","","","","","","0.46875","0.46875","0.46875"
"2539520","","","","0","0","0","","",""
"2539616","1","1","1","","","","","",""
"2546400","","","","","","","0.46875","0.46875","0.46875"
"2559104","","","","0","0","0","","",""
"2559232","1","1","1","","","","","",""
"2559424","","","","","","","0.474609375","0.474609375","0.474609375"
"2572384","","","","","","","0.46875","0.46875","0.46875"
"2578976","","","","0","0","0","","",""
"2579808","1","1","1","","","","","",""
"2585248","","","","","","","0.474609375","0.474609375","0.474609375"
"2597184","","","","","","","0.474609375","0.474609375","0.474609375"
"2599776","","","","0","0","0","","",""
"2599936","1","1","1","","","","","",""
"2611168","","","","","","","0.498046875","0.498046875","0.498046875"
"2619424","1","1","1","","","","","",""
"2619808","","","","0.012500000186264515","0.012500000186264515","0.012500000186264515","","",""
"2623744","","","","","","","0.48046875","0.48046875","0.48046875"
"2636352","","","","","","","0.484375","0.484375","0.484375"
"2638208","1","1","1","","","","","",""
"2639680","","","","0","0","0","","",""
"2649280","","","","","","","0.5","0.5","0.5"
"2659136","1","1","1","","","","","",""
"2659232","","","","0.012500000186264515","0.012500000186264515","0.012500000186264515","","",""
"2662112","","","","","","","0.5","0.5","0.5"
"2675168","","","","","","","0.5","0.5","0.5"
"2679680","1","1","1","","","","","",""
"2679904","","","","0","0","0","","",""
"2687328","","","","","","","0.51171875","0.51171875","0.51171875"
"2699808","","","","0","0","0","","",""
"2699936","1","1","1","","","","","",""
"2700448","","","","","","","0.5","0.5","0.5"
"2713216","","","","","","","0.5","0.5","0.5"
"2719200","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"2719680","1","1","1","","","","","",""
"2726272","","","","","","","0.5234375","0.5234375","0.5234375"
"2738912","","","","","","","0.5","0.5","0.5"
"2739488","1","1","1","","","","","",""
"2739840","","","","0","0","0","","",""
"2751488","","","","","","","0.49609375","0.49609375","0.49609375"
"2759072","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"2759488","1","1","1","","","","","",""
"2763872","","","","","","","0.45703125","0.45703125","0.45703125"
"2777344","","","","","","","0.4375","0.4375","0.4375"
"2779488","","","","0","0","0","","",""
"2779808","1","1","1","","","","","",""
"2790240","","","","","","","0.431640625","0.431640625","0.431640625"
"2798880","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"2799840","1","1","1","","","","","",""
"2803136","","","","","","","0.4375","0.4375","0.4375"
"2815776","","","","","","","0.41796875","0.41796875","0.41796875"
"2819744","","","","0","0","0","","",""
"2819968","1","1","1","","","","","",""
"2827584","","","","","","","0.384765625","0.384765625","0.384765625"
"2839328","1","1","1","","","","","",""
"2839968","","","","0","0","0","","",""
"2840576","","","","","","","0.375","0.375","0.375"
"2853728","","","","","","","0.375","0.375","0.375"
"2859424","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"2859936","1","1","1","","","","","",""
"2866912","","","","","","","0.359375","0.359375","0.359375"
"2878976","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"2879360","","","","","","","0.34375","0.34375","0.34375"
"2879936","1","1","1","","","","","",""
"2892608","","","","","","","0.34375","0.34375","0.34375"
"2898944","","","","0","0","0","","",""
"2899936","1","1","1","","","","","",""
"2905568","","","","","","","0.328125","0.328125","0.328125"
"2917728","","","","","","","0.2890625","0.2890625","0.2890625"
"2919488","","","","0","0","0","","",""
"2919744","1","1","1","","","","","",""
"2931104","","","","","","","0.28125","0.28125","0.28125"
"2937888","1","1","1","","","","","",""
"2939776","","","","0","0","0","","",""
"2942624","","","","","","","0.28125","0.28125","0.28125"
"2956480","","","","","","","0.28125","0.28125","0.28125"
"2958624","","","","0","0","0","","",""
"2959840","1","1","1","","","","","",""
"2969568","","","","","","","0.244140625","0.244140625","0.244140625"
"2979776","1","1","1","","","","","",""
"2979808","","","","0","0","0","","",""
"2981664","","","","","","","0.25","0.25","0.25"
"2994144","","","","","","","0.255859375","0.255859375","0.255859375"
"2999648","","","","0","0","0","","",""
"2999808","1","1","1","","","","","",""
"3007552","","","","","","","0.244140625","0.244140625","0.244140625"
"3019136","1","1","1","","","","","",""
"3019744","","","","0","0","0","","",""
"3020512","","","","","","","0.251953125","0.251953125","0.251953125"
"3032960","","","","","","","0.224609375","0.224609375","0.224609375"
"3038592","1","1","1","","","","","",""
"3039936","","","","0","0","0","","",""
"3046080","","","","","","","0.21875","0.21875","0.21875"
"3059104","","","","","","","0.240234375","0.240234375","0.240234375"
"3059360","","","","0","0","0","","",""
"3059872","1","1","1","","","","","",""
"3070656","","","","","","","0.23828125","0.23828125","0.23828125"
"3079104","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"3079648","1","1","1","","","","","",""
"3084320","","","","","","","0.20703125","0.20703125","0.20703125"
"3096416","","","","","","","0.19921875","0.19921875","0.19921875"
"3099296","","","","0","0","0","","",""
"3099552","1","1","1","","","","","",""
"3110144","","","","","","","0.15625","0.15625","0.15625"
"3119872","1","1","1","","","","","",""
"3119968","","","","0","0","0","","",""
"3122784","","","","","","","0.125","0.125","0.125"
"3135392","","","","","","","0.130859375","0.130859375","0.130859375"
"3135520","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"3139904","1","1","1","","","","","",""
"3147488","","","","","","","0.125","0.125","0.125"
"3159680","","","","0","0","0","","",""
"3159968","1","1","1","","","","","",""
"3161152","","","","","","","0.125","0.125","0.125"
"3172352","","","","","","","0.134765625","0.134765625","0.134765625"
"3179712","1","1","1","","","","","",""
