"Step","a3c_Gravitar_runseed=0 - training/episode/reward","a3c_Gravitar_runseed=0 - training/episode/reward__MIN","a3c_Gravitar_runseed=0 - training/episode/reward__MAX"
"406592","0","0","0"
"406944","100","100","100"
"409120","0","0","0"
"409696","500","500","500"
"410752","100","100","100"
"411040","600","600","600"
"413760","100","100","100"
"413792","0","0","0"
"414624","0","0","0"
"415424","800","800","800"
"416352","0","0","0"
"417984","750","750","750"
"418048","300","300","300"
"419072","700","700","700"
"420160","250","250","250"
"420320","0","0","0"
"421376","0","0","0"
"422752","600","600","600"
"424448","250","250","250"
"425760","0","0","0"
"426976","450","450","450"
"427072","100","100","100"
"427840","0","0","0"
"428160","500","500","500"
"429632","100","100","100"
"432448","100","100","100"
"433024","0","0","0"
"433664","350","350","350"
"433952","250","250","250"
"435744","100","100","100"
"436096","0","0","0"
"437376","0","0","0"
"438336","250","250","250"
"438560","250","250","250"
"440256","0","0","0"
"441472","500","500","500"
"444544","200","200","200"
"445344","0","0","0"
"446784","0","0","0"
"448384","100","100","100"
"448608","250","250","250"
"449024","350","350","350"
"449664","250","250","250"
"450016","250","250","250"
"453088","450","450","450"
"453472","0","0","0"
"453600","450","450","450"
"453792","350","350","350"
"454944","500","500","500"
"455456","100","100","100"
"455520","350","350","350"
"457248","0","0","0"
"458624","0","0","0"
"459968","0","0","0"
"463648","500","500","500"
"464000","0","0","0"
"464608","0","0","0"
"468064","450","450","450"
"468096","0","0","0"
"468160","250","250","250"
"470400","0","0","0"
"470784","100","100","100"
"471680","0","0","0"
"472000","350","350","350"
"472448","100","100","100"
"472672","250","250","250"
"475104","100","100","100"
"475872","0","0","0"
"477120","450","450","450"
"478528","500","500","500"
"481152","200","200","200"
"481984","100","100","100"
"482176","0","0","0"
"482976","550","550","550"
"483232","250","250","250"
"485728","100","100","100"
"486464","100","100","100"
"486528","100","100","100"
"486592","850","850","850"
"486784","350","350","350"
"488800","450","450","450"
"488896","200","200","200"
"489504","2000","2000","2000"
"489696","0","0","0"
"490336","550","550","550"
"491552","450","450","450"
"491584","0","0","0"
"493792","350","350","350"
"493952","100","100","100"
"494528","450","450","450"
"494720","0","0","0"
"497216","350","350","350"
"498688","2200","2200","2200"
"498880","250","250","250"
"500128","100","100","100"
"500448","0","0","0"
"503392","600","600","600"
"504192","250","250","250"
"505824","250","250","250"
"506176","700","700","700"
"506624","450","450","450"
"506656","200","200","200"
"507264","600","600","600"
"507744","550","550","550"
"508000","600","600","600"
"509216","250","250","250"
"509280","1000","1000","1000"
"510048","250","250","250"
"511456","350","350","350"
"511968","350","350","350"
"512064","800","800","800"
"512448","100","100","100"
"515552","200","200","200"
"517184","0","0","0"
"518272","700","700","700"
"518880","100","100","100"
"520960","600","600","600"
"522240","350","350","350"
"523168","0","0","0"
"523232","250","250","250"
"523712","0","0","0"
"526112","100","100","100"
"526336","100","100","100"
"526400","0","0","0"
"527552","100","100","100"
"528160","250","250","250"
"528640","450","450","450"
"530272","100","100","100"
"530400","350","350","350"
"530496","0","0","0"
"530560","600","600","600"
"532032","0","0","0"
"533600","0","0","0"
"537152","250","250","250"
"537888","250","250","250"
"538208","100","100","100"
"539200","100","100","100"
"541088","700","700","700"
"541312","0","0","0"
"542592","600","600","600"
"543712","0","0","0"
"543808","250","250","250"
"545536","250","250","250"
"546272","100","100","100"
"546880","950","950","950"
"547264","500","500","500"
"547328","950","950","950"
"548896","850","850","850"
"549472","600","600","600"
"549824","250","250","250"
"550336","750","750","750"
"550496","600","600","600"
"550624","100","100","100"
"551392","0","0","0"
"553664","250","250","250"
"553792","350","350","350"
"554400","0","0","0"
"554592","0","0","0"
"556800","350","350","350"
"557472","0","0","0"
"559200","600","600","600"
"559296","250","250","250"
"559584","100","100","100"
"559648","0","0","0"
"560448","450","450","450"
"562720","0","0","0"
"563392","0","0","0"
"563456","1050","1050","1050"
"564000","250","250","250"
"564672","0","0","0"
"566144","0","0","0"
"566400","200","200","200"
"566432","250","250","250"
"566624","100","100","100"
"567808","250","250","250"
"568192","0","0","0"
"568608","550","550","550"
"570560","350","350","350"
"570816","0","0","0"
"570880","100","100","100"
"571104","700","700","700"
