"Step","FuN_Gravitar_runseed=0 - training/episode/reward","FuN_Gravitar_runseed=0 - training/episode/reward__MIN","FuN_Gravitar_runseed=0 - training/episode/reward__MAX"
"493440","600","600","600"
"493696","0","0","0"
"494272","0","0","0"
"495584","200","200","200"
"496224","100","100","100"
"498336","0","0","0"
"499488","600","600","600"
"502592","100","100","100"
"503200","100","100","100"
"504544","350","350","350"
"505024","300","300","300"
"505664","100","100","100"
"505728","250","250","250"
"506784","1050","1050","1050"
"506976","250","250","250"
"507456","200","200","200"
"507936","0","0","0"
"508288","0","0","0"
"508832","0","0","0"
"511360","0","0","0"
"512736","250","250","250"
"513536","200","200","200"
"513760","250","250","250"
"514400","250","250","250"
"515136","600","600","600"
"515296","350","350","350"
"515616","600","600","600"
"516416","0","0","0"
"517120","100","100","100"
"517248","500","500","500"
"518752","200","200","200"
"519008","800","800","800"
"519168","0","0","0"
"522400","250","250","250"
"523520","0","0","0"
"523904","350","350","350"
"525984","0","0","0"
"526272","100","100","100"
"526336","450","450","450"
"527040","0","0","0"
"527456","600","600","600"
"529344","350","350","350"
"531264","900","900","900"
"533472","450","450","450"
"534400","250","250","250"
"534656","0","0","0"
"535008","350","350","350"
"535488","0","0","0"
"536448","600","600","600"
"536704","0","0","0"
"539392","0","0","0"
"540768","200","200","200"
"541728","0","0","0"
"545408","0","0","0"
"545696","450","450","450"
"545856","100","100","100"
"546816","450","450","450"
"547008","100","100","100"
"548064","0","0","0"
"549792","0","0","0"
"553984","100","100","100"
"555328","500","500","500"
"555712","600","600","600"
"556288","500","500","500"
"556320","600","600","600"
"556512","600","600","600"
"556576","0","0","0"
"557440","0","0","0"
"557952","350","350","350"
"562080","0","0","0"
"563744","100","100","100"
"564192","250","250","250"
"565824","350","350","350"
"569728","0","0","0"
"571104","250","250","250"
"571968","850","850","850"
"572032","0","0","0"
"572672","450","450","450"
"575552","250","250","250"
"575584","500","500","500"
"575808","350","350","350"
"575936","200","200","200"
"575968","0","0","0"
"577024","100","100","100"
"577408","250","250","250"
"577664","600","600","600"
"577888","500","500","500"
"578656","500","500","500"
"579072","100","100","100"
"579200","450","450","450"
"579392","450","450","450"
"579776","350","350","350"
"581312","350","350","350"
"583232","350","350","350"
"584224","0","0","0"
"584544","0","0","0"
"586848","0","0","0"
"590624","250","250","250"
"593184","0","0","0"
"594016","250","250","250"
"596320","100","100","100"
"596352","0","0","0"
"596864","0","0","0"
"596896","0","0","0"
"597056","500","500","500"
"597184","750","750","750"
"598528","650","650","650"
"599808","450","450","450"
"600128","600","600","600"
"600224","600","600","600"
"600896","100","100","100"
"601248","0","0","0"
"601600","200","200","200"
"602528","350","350","350"
"602880","450","450","450"
"602976","100","100","100"
"606016","700","700","700"
"610080","700","700","700"
"610752","500","500","500"
"613856","0","0","0"
"614304","500","500","500"
"615008","0","0","0"
"615776","0","0","0"
"615808","100","100","100"
"616480","250","250","250"
"617728","600","600","600"
"618272","600","600","600"
"618336","600","600","600"
"619904","500","500","500"
"621440","0","0","0"
"622304","0","0","0"
"623168","700","700","700"
"625344","450","450","450"
"627264","700","700","700"
"629312","0","0","0"
"631840","100","100","100"
"633760","100","100","100"
"634272","350","350","350"
"637984","0","0","0"
"638208","200","200","200"
"638400","350","350","350"
"638688","850","850","850"
"639584","500","500","500"
"641120","0","0","0"
"641312","800","800","800"
"641440","100","100","100"
"642016","250","250","250"
"642400","0","0","0"
"642496","0","0","0"
"643456","700","700","700"
"644480","100","100","100"
"646592","600","600","600"
"648096","600","600","600"
"649536","0","0","0"
"650656","700","700","700"
"652992","350","350","350"
"654240","100","100","100"
"654720","600","600","600"
"656416","0","0","0"
"657248","0","0","0"
"659680","350","350","350"
"659712","700","700","700"
"659904","0","0","0"
"660480","0","0","0"
"661056","350","350","350"
"661760","600","600","600"
"662688","0","0","0"
"662816","350","350","350"
"663616","100","100","100"
"664544","350","350","350"
"664896","350","350","350"
"665088","550","550","550"
"666368","0","0","0"
"666592","350","350","350"
"669344","100","100","100"
"671264","800","800","800"
"673472","750","750","750"
"674528","0","0","0"
"674784","100","100","100"
"677408","100","100","100"
"677632","700","700","700"
"678144","350","350","350"
"678560","350","350","350"
"680224","100","100","100"
"680384","0","0","0"
"681664","600","600","600"
"682112","250","250","250"
"682816","200","200","200"
"683200","250","250","250"
"684736","350","350","350"
"685024","0","0","0"
"685280","100","100","100"
"686080","100","100","100"
"686464","350","350","350"
"687136","600","600","600"
"688256","100","100","100"
"689760","600","600","600"
"693280","350","350","350"
"694272","100","100","100"
"694880","0","0","0"
"695744","200","200","200"
"696384","100","100","100"
"698496","0","0","0"
"700000","200","200","200"
"702784","600","600","600"
"704384","250","250","250"
"705728","100","100","100"
"705760","100","100","100"
"705792","0","0","0"
"707328","250","250","250"
"707552","450","450","450"
"707872","600","600","600"
"709376","950","950","950"
"711968","0","0","0"
"712480","250","250","250"
"713376","0","0","0"
"714528","0","0","0"
"715840","100","100","100"
"716416","0","0","0"
"717696","600","600","600"
"718816","0","0","0"
"718976","700","700","700"
"719872","100","100","100"
"724480","450","450","450"
"725088","100","100","100"
"725312","0","0","0"
"727040","700","700","700"
"729984","350","350","350"
"730528","1050","1050","1050"
"730592","550","550","550"
"730624","450","450","450"
"731264","100","100","100"
"732512","700","700","700"
"735136","0","0","0"
"735200","100","100","100"
"736224","700","700","700"
"737920","200","200","200"
"738016","600","600","600"
"739328","450","450","450"
"740960","0","0","0"
"742144","0","0","0"
"744864","250","250","250"
"745152","100","100","100"
"747456","0","0","0"
"748800","600","600","600"
"749696","250","250","250"
"751840","0","0","0"
"752192","700","700","700"
"752864","350","350","350"
"753888","700","700","700"
"754464","250","250","250"
"754752","600","600","600"
"755392","0","0","0"
"756448","450","450","450"
"756768","350","350","350"
"757536","0","0","0"
"758848","250","250","250"
"760672","500","500","500"
"761312","700","700","700"
"761664","350","350","350"
"765280","600","600","600"
"766336","300","300","300"
"766752","350","350","350"
"767424","250","250","250"
"768352","350","350","350"
"770624","600","600","600"
"770976","350","350","350"
"772128","350","350","350"
"772960","350","350","350"
"773696","0","0","0"
"773760","0","0","0"
"773952","600","600","600"
"776000","100","100","100"
"776096","250","250","250"
"777216","0","0","0"
"777504","250","250","250"
"779232","250","250","250"
"779296","750","750","750"
"780576","450","450","450"
"781888","250","250","250"
"782848","250","250","250"
"783104","0","0","0"
"785632","0","0","0"
"785792","350","350","350"
"785824","0","0","0"
"786272","250","250","250"
"788512","0","0","0"
"790432","500","500","500"
"791104","600","600","600"
"792288","0","0","0"
"793728","600","600","600"
"794304","450","450","450"
"794496","250","250","250"
"794784","0","0","0"
"795232","100","100","100"
"795392","0","0","0"
"795680","250","250","250"
"797952","700","700","700"
"798272","850","850","850"
"799168","350","350","350"
"799552","350","350","350"
"801312","350","350","350"
"802848","0","0","0"
"802912","200","200","200"
"804224","250","250","250"
"805440","450","450","450"
"806112","0","0","0"
"806496","100","100","100"
"806592","0","0","0"
"809824","600","600","600"
"810528","0","0","0"
"810720","550","550","550"
"811744","0","0","0"
"812608","850","850","850"
"813120","100","100","100"
"813856","800","800","800"
"814656","200","200","200"
"814688","250","250","250"
"815040","0","0","0"
"815168","250","250","250"
"816000","0","0","0"
"816480","0","0","0"
"816800","500","500","500"
"818176","600","600","600"
"818272","0","0","0"
"818464","0","0","0"
"820384","100","100","100"
"821056","600","600","600"
"821600","0","0","0"
"821984","250","250","250"
"822048","0","0","0"
"823488","550","550","550"
"824480","250","250","250"
"825056","0","0","0"
"826656","750","750","750"
"827488","0","0","0"
"829536","0","0","0"
"829728","100","100","100"
"831296","250","250","250"
"831904","100","100","100"
"833408","0","0","0"
"834080","0","0","0"
"834528","0","0","0"
"835264","200","200","200"
"837056","100","100","100"
"837088","750","750","750"
"837504","350","350","350"
"839072","0","0","0"
"841440","0","0","0"
"841824","100","100","100"
"842912","600","600","600"
"843168","250","250","250"
"843488","450","450","450"
"843872","0","0","0"
"844224","250","250","250"
"844800","350","350","350"
"845152","0","0","0"
"845280","250","250","250"
"845312","0","0","0"
"846880","250","250","250"
"847520","250","250","250"
"848288","250","250","250"
"849760","0","0","0"
"850912","0","0","0"
"851040","0","0","0"
"851168","0","0","0"
"852832","100","100","100"
"853856","250","250","250"
"854912","100","100","100"
"856320","0","0","0"
"856480","600","600","600"
"857568","350","350","350"
"857952","250","250","250"
"861184","250","250","250"
"862048","100","100","100"
"863136","550","550","550"
"863456","250","250","250"
"863584","200","200","200"
"863808","450","450","450"
"864320","700","700","700"
"864512","0","0","0"
"868320","0","0","0"
"870432","0","0","0"
"872256","250","250","250"
"872544","700","700","700"
"872928","350","350","350"
"872992","0","0","0"
"873600","0","0","0"
"873632","0","0","0"
"873984","0","0","0"
"874880","0","0","0"
"877120","500","500","500"
"877856","700","700","700"
"877952","0","0","0"
"879168","100","100","100"
"879488","250","250","250"
"881152","0","0","0"
"881312","100","100","100"
"881504","0","0","0"
"882656","250","250","250"
"883264","350","350","350"
"883392","0","0","0"
"884448","350","350","350"
"884480","500","500","500"
"884544","800","800","800"
"884800","0","0","0"
"887296","250","250","250"
"890368","0","0","0"
"891232","0","0","0"
"893152","700","700","700"
"893696","350","350","350"
"894720","500","500","500"
"896224","350","350","350"
"896320","0","0","0"
"897408","250","250","250"
"897664","250","250","250"
"897760","250","250","250"
"899840","0","0","0"
"900544","350","350","350"
"901856","800","800","800"
"903200","0","0","0"
"903616","850","850","850"
"903776","100","100","100"
"905312","450","450","450"
"905344","350","350","350"
"905472","250","250","250"
"908640","0","0","0"
"909056","500","500","500"
"910880","0","0","0"
"911008","100","100","100"
"912128","350","350","350"
"912160","0","0","0"
"912320","250","250","250"
"912480","100","100","100"
"914368","100","100","100"
"914560","0","0","0"
"915616","100","100","100"
"915840","200","200","200"
"916992","0","0","0"
"918848","600","600","600"
"921184","200","200","200"
"921824","200","200","200"
"922464","0","0","0"
"923776","600","600","600"
"924000","650","650","650"
"924672","0","0","0"
"925088","200","200","200"
"925184","450","450","450"
"927840","250","250","250"
"931648","350","350","350"
"932640","250","250","250"
"932736","500","500","500"
"933344","100","100","100"
"936256","500","500","500"
"937792","250","250","250"
"937952","200","200","200"
"940384","100","100","100"
"940640","0","0","0"
"941408","200","200","200"
"943456","350","350","350"
"944640","0","0","0"
"945216","500","500","500"
"945728","250","250","250"
"949472","900","900","900"
"949760","0","0","0"
"951360","250","250","250"
"951936","0","0","0"
"952160","750","750","750"
"952864","300","300","300"
"953184","350","350","350"
"955936","500","500","500"
"956960","0","0","0"
"957568","550","550","550"
"959552","0","0","0"
"960960","0","0","0"
"962752","500","500","500"
"963616","850","850","850"
"964704","0","0","0"
"965216","0","0","0"
"965856","0","0","0"
"966720","700","700","700"
"967232","350","350","350"
"970336","250","250","250"
"970624","0","0","0"
"971776","250","250","250"
"972416","100","100","100"
"972608","0","0","0"
"972896","0","0","0"
"973376","0","0","0"
"973536","0","0","0"
"975168","600","600","600"
"975456","0","0","0"
"977088","450","450","450"
"979808","0","0","0"
"981088","300","300","300"
"982112","250","250","250"
"982368","100","100","100"
"982784","600","600","600"
"983232","250","250","250"
"984704","550","550","550"
"984992","100","100","100"
"985088","600","600","600"
"985984","600","600","600"
"986432","500","500","500"
"986688","0","0","0"
"988544","100","100","100"
"989984","250","250","250"
"991904","500","500","500"
"992192","450","450","450"
"992320","0","0","0"
"992640","350","350","350"
"992928","450","450","450"
"993408","700","700","700"
"993504","100","100","100"
"995808","0","0","0"
"996224","0","0","0"
"998848","100","100","100"
"999808","100","100","100"
"1002912","250","250","250"
"1003360","0","0","0"
"1003936","0","0","0"
"1004416","0","0","0"
"1004800","250","250","250"
"1007712","600","600","600"
"1008928","350","350","350"
"1010592","100","100","100"
"1010880","450","450","450"
"1012224","0","0","0"
"1014304","600","600","600"
"1014720","350","350","350"
"1014816","200","200","200"
"1015488","0","0","0"
"1018176","250","250","250"
"1018336","350","350","350"
"1019552","500","500","500"
"1020768","250","250","250"
"1020896","200","200","200"
"1022656","250","250","250"
"1023520","500","500","500"
"1023744","250","250","250"
"1023840","250","250","250"
"1024128","250","250","250"
"1024160","100","100","100"
"1025152","700","700","700"
"1025408","250","250","250"
"1025888","100","100","100"
"1027712","0","0","0"
"1029344","250","250","250"
"1031424","100","100","100"
"1033248","0","0","0"
"1033376","600","600","600"
"1034016","100","100","100"
"1034336","250","250","250"
"1035584","700","700","700"
"1035648","0","0","0"
"1037152","0","0","0"
"1038592","450","450","450"
"1041504","550","550","550"
"1042208","100","100","100"
"1043072","300","300","300"
"1043136","0","0","0"
"1044384","350","350","350"
"1045632","0","0","0"
"1047296","0","0","0"
"1048480","100","100","100"
"1051712","350","350","350"
"1052800","350","350","350"
"1053344","200","200","200"
"1053984","450","450","450"
"1055744","0","0","0"
"1056480","600","600","600"
"1057248","200","200","200"
"1059328","0","0","0"
"1059488","350","350","350"
"1059520","0","0","0"
"1059584","0","0","0"
"1060288","0","0","0"
"1060672","450","450","450"
"1062048","250","250","250"
"1062144","350","350","350"
"1063008","100","100","100"
"1064320","850","850","850"
"1064768","0","0","0"
"1065632","500","500","500"
"1068000","500","500","500"
"1070528","350","350","350"
"1070560","200","200","200"
"1071072","0","0","0"
"1074624","0","0","0"
"1074688","450","450","450"
"1075008","100","100","100"
"1075040","0","0","0"
"1077536","100","100","100"
"1077632","0","0","0"
"1078208","0","0","0"
"1078400","350","350","350"
"1078880","100","100","100"
"1079296","0","0","0"
"1080128","100","100","100"
"1080800","0","0","0"
"1081120","0","0","0"
"1082720","500","500","500"
"1083744","350","350","350"
"1084544","600","600","600"
"1086272","950","950","950"
"1088480","350","350","350"
"1089728","0","0","0"
"1091200","0","0","0"
"1093088","250","250","250"
"1093504","0","0","0"
"1094336","250","250","250"
"1094976","600","600","600"
"1095552","0","0","0"
"1096480","350","350","350"
"1098240","350","350","350"
"1098432","0","0","0"
"1098624","450","450","450"
"1099584","500","500","500"
"1099648","350","350","350"
"1099680","550","550","550"
"1102912","250","250","250"
"1103616","250","250","250"
"1106592","200","200","200"
"1107104","700","700","700"
"1108000","500","500","500"
"1109728","350","350","350"
"1110336","100","100","100"
"1110464","100","100","100"
"1112256","100","100","100"
"1113184","350","350","350"
"1114400","100","100","100"
"1114720","500","500","500"
"1115360","0","0","0"
"1115488","100","100","100"
"1115776","0","0","0"
"1115872","0","0","0"
"1115936","350","350","350"
"1117120","0","0","0"
"1117376","0","0","0"
"1117504","250","250","250"
"1117824","0","0","0"
"1119712","250","250","250"
"1123552","0","0","0"
"1125184","350","350","350"
"1125856","100","100","100"
"1126656","350","350","350"
"1126752","350","350","350"
"1128736","0","0","0"
"1129952","100","100","100"
"1130240","900","900","900"
"1132640","350","350","350"
"1133664","250","250","250"
"1134560","700","700","700"
"1135104","0","0","0"
"1135168","600","600","600"
"1135360","700","700","700"
"1135616","700","700","700"
"1136224","250","250","250"
"1137088","450","450","450"
"1140192","500","500","500"
"1142336","100","100","100"
"1143776","450","450","450"
"1145184","200","200","200"
"1146464","0","0","0"
"1147200","800","800","800"
"1147456","100","100","100"
"1148640","250","250","250"
"1150432","250","250","250"
"1151232","100","100","100"
"1151680","600","600","600"
"1151936","0","0","0"
"1152192","500","500","500"
"1153088","0","0","0"
"1153984","100","100","100"
"1154272","350","350","350"
"1155168","0","0","0"
"1155360","800","800","800"
"1155552","250","250","250"
"1155840","0","0","0"
"1156608","350","350","350"
"1157664","500","500","500"
"1158784","100","100","100"
"1164672","0","0","0"
"1165728","600","600","600"
"1166272","350","350","350"
"1166400","500","500","500"
"1168736","200","200","200"
"1168960","0","0","0"
"1169088","0","0","0"
"1170752","0","0","0"
"1173376","250","250","250"
"1174080","500","500","500"
"1174976","0","0","0"
"1175680","700","700","700"
"1178784","600","600","600"
"1179392","0","0","0"
"1181056","250","250","250"
"1182752","0","0","0"
"1184096","600","600","600"
"1184832","100","100","100"
"1184928","200","200","200"
"1186496","100","100","100"
"1186848","0","0","0"
"1187040","500","500","500"
"1188000","0","0","0"
"1188096","800","800","800"
"1188224","350","350","350"
"1188448","0","0","0"
"1188608","0","0","0"
"1189472","550","550","550"
"1190304","450","450","450"
"1191648","100","100","100"
"1193056","600","600","600"
"1193120","0","0","0"
"1194304","250","250","250"
"1195968","0","0","0"
"1196288","0","0","0"
"1196416","350","350","350"
"1197664","500","500","500"
"1198368","0","0","0"
"1201536","100","100","100"
"1202784","600","600","600"
"1202976","0","0","0"
"1204384","500","500","500"
"1204704","450","450","450"
"1205344","100","100","100"
"1205952","0","0","0"
"1208320","200","200","200"
"1208544","100","100","100"
"1210400","0","0","0"
"1210848","450","450","450"
"1212800","100","100","100"
"1214176","250","250","250"
"1215040","100","100","100"
"1216096","350","350","350"
"1216608","600","600","600"
"1217088","250","250","250"
"1219200","100","100","100"
"1220288","700","700","700"
"1220320","250","250","250"
"1220512","0","0","0"
"1223360","100","100","100"
"1223488","450","450","450"
"1223744","100","100","100"
"1224672","100","100","100"
"1225152","0","0","0"
"1225408","100","100","100"
"1225600","250","250","250"
"1227296","500","500","500"
"1230464","0","0","0"
"1231200","0","0","0"
"1231264","300","300","300"
"1235776","100","100","100"
"1237824","350","350","350"
"1238016","0","0","0"
"1238080","350","350","350"
"1240384","0","0","0"
"1241536","250","250","250"
"1244448","350","350","350"
"1244576","600","600","600"
"1244864","850","850","850"
"1245440","0","0","0"
"1248000","350","350","350"
"1249280","600","600","600"
"1253184","750","750","750"
"1256448","0","0","0"
"1256640","100","100","100"
"1257408","0","0","0"
"1258016","350","350","350"
"1258752","0","0","0"
"1259520","0","0","0"
"1259744","100","100","100"
"1262016","0","0","0"
"1263776","250","250","250"
