"Step","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3__MAX"
"1100480","","","","0.990234375","0.990234375","0.990234375","","",""
"1100736","0.0078125","0.0078125","0.0078125","","","","","",""
"1113376","","","","1","1","1","0","0","0"
"1113568","0.001953125","0.001953125","0.001953125","","","","","",""
"1125280","0.005859375","0.005859375","0.005859375","","","","","",""
"1126112","","","","1","1","1","0","0","0"
"1137760","","","","","","","0","0","0"
"1138528","0","0","0","","","","","",""
"1139136","","","","1","1","1","","",""
"1151072","0.01171875","0.01171875","0.01171875","","","","","",""
"1151872","","","","0.994140625","0.994140625","0.994140625","","",""
"1151904","","","","","","","0","0","0"
"1163712","0.005859375","0.005859375","0.005859375","","","","","",""
"1163936","","","","1","1","1","","",""
"1164672","","","","","","","0","0","0"
"1175872","0","0","0","","","","","",""
"1177024","","","","1","1","1","","",""
"1177408","","","","","","","0","0","0"
"1189824","0.005859375","0.005859375","0.005859375","","","","","",""
"1190240","","","","1","1","1","","",""
"1190272","","","","","","","0","0","0"
"1201760","","","","","","","0","0","0"
"1202144","0.005859375","0.005859375","0.005859375","","","","","",""
"1202880","","","","1","1","1","","",""
"1214880","","","","1","1","1","","",""
"1215296","","","","","","","0","0","0"
"1215712","0.005859375","0.005859375","0.005859375","","","","","",""
"1228224","0","0","0","","","","","",""
"1228352","","","","","","","0","0","0"
"1228384","","","","1","1","1","","",""
"1241312","","","","","","","0","0","0"
"1241440","0","0","0","1","1","1","","",""
"1253440","","","","0.978515625","0.978515625","0.978515625","","",""
"1253984","","","","","","","0","0","0"
"1254368","0","0","0","","","","","",""
"1266016","0","0","0","","","","","",""
"1266432","","","","","","","0","0","0"
"1266656","","","","0.986328125","0.986328125","0.986328125","","",""
"1278688","0","0","0","","","","","",""
"1279392","","","","1","1","1","","",""
"1279808","","","","","","","0","0","0"
"1291840","0","0","0","","","","","",""
"1292448","","","","","","","0","0","0"
"1292768","","","","1","1","1","","",""
"1304096","0","0","0","","","","","",""
"1304288","","","","0.994140625","0.994140625","0.994140625","","",""
"1305536","","","","","","","0","0","0"
"1317728","","","","","","","0","0","0"
"1318336","0","0","0","0.994140625","0.994140625","0.994140625","","",""
"1330688","","","","","","","0","0","0"
"1331072","","","","0.994140625","0.994140625","0.994140625","","",""
"1331136","0","0","0","","","","","",""
"1343264","","","","","","","0","0","0"
